fixed acidity,volatile acidity,citric acid,pH,quality
6.4,0.79,0.04,3.53,bad
6.4,0.56,0.15,3.33,bad
6.9,0.84,0.21,3.53,bad
6.9,0.84,0.21,3.53,bad
6.1,0.32,0.25,3.42,bad
6.5,0.53,0.06,3.38,bad
7.4,0.47,0.46,3.32,bad
6.6,0.7,0.08,3.44,bad
6.5,0.53,0.06,3.38,bad
6.9,0.48,0.2,3.39,bad
6.1,0.32,0.25,3.42,bad
6.8,0.48,0.25,3.34,bad
6,0.42,0.19,3.39,bad
6.7,0.48,0.08,3.33,bad
6.8,0.47,0.08,3.3,bad
7.1,0.53,0.07,3.29,bad
7.9,0.29,0.49,3.31,bad
7.1,0.69,0.08,3.42,bad
6.6,0.44,0.09,3.42,bad
6.1,0.705,0.1,3.6,bad
7.2,0.53,0.13,3.21,bad
8,0.39,0.3,3.39,bad
6.6,0.56,0.14,3.42,good
7,0.55,0.13,3.36,bad
6.1,0.53,0.08,3.6,bad
5.4,0.58,0.08,3.5,bad
6.2,0.64,0.09,3.57,bad
7.2,0.39,0.32,3.46,bad
6.2,0.52,0.08,3.56,bad
7.4,0.25,0.29,3.4,good
6.7,0.855,0.02,3.3,bad
11.1,0.44,0.42,3.25,bad
8.4,0.37,0.43,3.17,good
6.5,0.63,0.33,3.36,bad
7,0.57,0.02,3.36,bad
6.3,0.6,0.1,3.55,bad
11.2,0.4,0.5,3.1,bad
7.4,0.36,0.3,3.24,good
7.1,0.68,0,3.45,bad
7.1,0.67,0,3.44,bad
6.3,0.68,0.01,3.51,bad
7.3,0.735,0,3.41,bad
6.6,0.855,0.02,3.54,bad
7,0.56,0.17,3.44,good
6.6,0.88,0.04,3.53,bad
6.6,0.855,0.02,3.54,bad
6.9,0.63,0.33,3.22,bad
7.8,0.6,0.26,3.21,bad
7.8,0.6,0.26,3.21,bad
7.8,0.6,0.26,3.21,bad
7.2,0.695,0.13,3.29,bad
7.2,0.695,0.13,3.29,bad
7.2,0.695,0.13,3.29,bad
6.7,0.67,0.02,3.39,bad
6.7,0.16,0.64,3.34,bad
7.2,0.695,0.13,3.29,bad
7,0.56,0.13,3.34,bad
6.2,0.51,0.14,3.48,bad
6.4,0.36,0.53,3.37,bad
6.4,0.38,0.14,3.44,bad
7.3,0.69,0.32,3.33,bad
6,0.58,0.2,3.58,bad
5.6,0.31,0.78,3.39,bad
7.5,0.52,0.4,3.26,bad
8,0.3,0.63,3.3,bad
6.2,0.7,0.15,3.54,bad
6.8,0.67,0.15,3.42,bad
6.2,0.56,0.09,3.54,bad
7.4,0.35,0.33,3.36,bad
6.2,0.56,0.09,3.54,bad
6.1,0.715,0.1,3.57,bad
6.2,0.46,0.29,3.33,bad
6.7,0.32,0.44,3.29,good
7.2,0.39,0.44,3.3,bad
7.5,0.31,0.41,3.34,bad
5.8,0.61,0.11,3.55,bad
7.2,0.66,0.33,3.27,bad
6.6,0.725,0.2,3.29,bad
6.3,0.55,0.15,3.32,bad
5.4,0.74,0.09,3.67,bad
6.3,0.51,0.13,3.42,bad
6.8,0.62,0.08,3.42,bad
6.2,0.6,0.08,3.45,bad
5.9,0.55,0.1,3.52,bad
6.3,0.51,0.13,3.42,bad
5.9,0.645,0.12,3.57,bad
6,0.31,0.47,3.39,bad
7,0.27,0.36,3,bad
6.3,0.3,0.34,3.3,bad
8.1,0.28,0.4,3.26,bad
7.2,0.23,0.32,3.19,bad
7.2,0.23,0.32,3.19,bad
8.1,0.28,0.4,3.26,bad
6.2,0.32,0.16,3.18,bad
7,0.27,0.36,3,bad
6.3,0.3,0.34,3.3,bad
8.1,0.22,0.43,3.22,bad
8.1,0.27,0.41,2.99,bad
8.6,0.23,0.4,3.14,bad
7.9,0.18,0.37,3.18,bad
6.6,0.16,0.4,3.54,good
8.3,0.42,0.62,2.98,bad
6.6,0.17,0.38,3.25,good
6.3,0.48,0.04,3.24,bad
6.2,0.66,0.48,3.33,good
7.4,0.34,0.42,3.12,bad
6.5,0.31,0.14,3.22,bad
6.2,0.66,0.48,3.33,good
6.4,0.31,0.38,3.17,good
6.8,0.26,0.42,3.47,good
7.6,0.67,0.14,3.05,bad
6.6,0.27,0.41,3.42,bad
7,0.25,0.32,3.25,bad
6.9,0.24,0.35,3.45,bad
7,0.28,0.39,3.38,bad
7.4,0.27,0.48,3.19,bad
7.2,0.32,0.36,3.1,good
8.5,0.24,0.39,3.2,bad
8.3,0.14,0.34,3.47,bad
7.4,0.25,0.36,3.19,bad
6.2,0.12,0.34,3.42,bad
5.8,0.27,0.2,3.37,bad
7.3,0.28,0.43,3.19,bad
6.5,0.39,0.23,3.24,bad
7,0.33,0.32,3.13,bad
7.3,0.24,0.39,3.21,bad
7.3,0.24,0.39,3.21,bad
6.7,0.23,0.39,3.11,bad
6.7,0.24,0.39,3.1,bad
7,0.31,0.26,3.13,bad
6.6,0.24,0.27,3.22,bad
6.7,0.23,0.26,3.24,bad
7.4,0.18,0.31,3.16,good
6.2,0.45,0.26,3.27,bad
6.2,0.46,0.25,3.25,bad
7,0.31,0.26,3.13,bad
6.9,0.19,0.35,3.36,bad
7.2,0.19,0.31,3.35,bad
6.6,0.25,0.29,3.34,good
6.2,0.16,0.33,3.32,good
6.4,0.18,0.35,3.31,bad
6.8,0.2,0.59,3.05,bad
6.9,0.25,0.35,3.13,bad
7.2,0.21,0.34,3.09,bad
6,0.19,0.26,3.3,bad
6.6,0.38,0.15,3.11,bad
7.4,0.2,0.36,3.36,bad
6.8,0.22,0.24,3.03,bad
6,0.19,0.26,3.3,bad
7,0.47,0.07,3.02,bad
6.6,0.38,0.15,3.11,bad
7.2,0.24,0.27,3.15,bad
6.2,0.35,0.03,3.22,bad
6.4,0.26,0.24,3.22,good
6.7,0.25,0.13,3.14,bad
6.7,0.23,0.31,3.33,good
7.4,0.24,0.29,3.13,bad
6.2,0.27,0.43,3.1,bad
6.8,0.3,0.23,3.32,bad
6,0.27,0.28,3.69,bad
8.6,0.23,0.46,2.95,bad
6.7,0.23,0.31,3.33,good
7.4,0.24,0.29,3.13,bad
7.1,0.18,0.36,3.26,good
7,0.32,0.34,3.31,good
7.4,0.18,0.3,2.94,bad
6.7,0.54,0.28,3.27,bad
6.8,0.22,0.31,3.39,bad
7.1,0.2,0.34,3.21,bad
7.1,0.34,0.2,3.17,bad
7.3,0.22,0.3,3.33,bad
7.1,0.43,0.61,3.11,bad
7.1,0.44,0.62,3.12,bad
7.2,0.39,0.63,3.09,bad
6.8,0.25,0.31,3.22,bad
7.1,0.43,0.61,3.11,bad
7.1,0.44,0.62,3.12,bad
7.2,0.39,0.63,3.09,bad
6.1,0.27,0.43,3.12,bad
6.9,0.24,0.33,3.26,good
6.9,0.21,0.33,3.25,good
7.5,0.17,0.32,3.21,good
7.1,0.26,0.29,3.04,bad
6,0.34,0.66,3.14,bad
8.6,0.265,0.36,2.95,good
9.8,0.36,0.46,2.89,bad
6,0.34,0.66,3.14,bad
7.4,0.25,0.37,3,bad
7.1,0.12,0.32,3.4,bad
6,0.21,0.24,3.34,bad
7.5,0.305,0.4,2.99,bad
7.4,0.25,0.37,3,bad
7.3,0.13,0.32,3.2,bad
7.1,0.12,0.32,3.4,bad
7.1,0.23,0.35,3.16,bad
7.1,0.23,0.35,3.16,bad
6.9,0.33,0.28,3.27,bad
6.5,0.17,0.54,2.89,bad
7.2,0.27,0.46,3.04,bad
7.2,0.31,0.5,3.01,bad
6.7,0.41,0.34,3.22,bad
6.7,0.41,0.34,3.22,bad
5.5,0.485,0,3.63,bad
6,0.31,0.24,3.31,bad
7,0.14,0.4,3.19,bad
7.2,0.31,0.5,3.01,bad
7.3,0.32,0.48,3.04,bad
5.9,0.36,0.04,3.22,bad
7.8,0.24,0.32,3.01,bad
7.4,0.16,0.31,3.29,bad
6.9,0.19,0.28,3.29,bad
6.4,0.13,0.47,3.21,bad
6.7,0.19,0.36,3.27,bad
7.4,0.39,0.23,3.14,bad
6.5,0.24,0.32,3.45,good
6.1,0.3,0.56,3.3,good
6.1,0.3,0.56,3.31,bad
5.7,0.26,0.25,3.39,bad
6.5,0.24,0.32,3.45,good
6.5,0.425,0.4,3.23,bad
6.6,0.24,0.27,3.24,bad
6.8,0.27,0.22,3.19,bad
6.7,0.27,0.31,3.26,bad
8.2,0.23,0.4,3.12,bad
7.1,0.37,0.67,3.16,bad
6.8,0.19,0.36,3.15,good
8.1,0.28,0.39,3.23,bad
6.3,0.31,0.34,3.3,bad
7.1,0.37,0.67,3.16,bad
7.9,0.21,0.4,3.21,bad
8.5,0.21,0.41,3.18,bad
8.1,0.2,0.4,3.12,bad
6.3,0.255,0.37,3,bad
5.6,0.16,0.27,3.28,bad
6.4,0.595,0.14,3.38,bad
6.3,0.34,0.33,3.38,good
6.9,0.25,0.3,2.99,bad
7.9,0.22,0.38,3.12,good
7.6,0.18,0.46,3.14,bad
6.9,0.25,0.3,2.99,bad
7.2,0.18,0.41,3.14,bad
8.2,0.23,0.4,3.06,bad
7.4,0.24,0.42,2.89,bad
7.4,0.24,0.42,2.89,bad
6.1,0.32,0.24,3.29,good
5.2,0.44,0.04,3.36,good
5.2,0.44,0.04,3.36,good
6.1,0.32,0.24,3.29,good
6.4,0.22,0.56,2.98,bad
6.3,0.36,0.3,3.28,bad
7.4,0.24,0.42,2.89,bad
6.7,0.24,0.35,3.15,bad
7,0.23,0.36,3.16,bad
8.4,0.27,0.46,3.14,bad
6.7,0.46,0.18,3.08,good
7.5,0.29,0.31,3.08,bad
9.8,0.42,0.48,2.87,bad
7.1,0.3,0.46,3.12,bad
7.9,0.19,0.45,3.13,bad
7.6,0.48,0.37,3.03,bad
6.3,0.22,0.43,3.35,good
7.5,0.27,0.31,3.09,bad
6.9,0.23,0.4,3.11,bad
7.2,0.32,0.47,3.03,bad
5.9,0.23,0.3,3.28,bad
6,0.67,0.07,3.11,bad
6.4,0.25,0.32,3.19,bad
6.4,0.33,0.31,3.19,bad
7.1,0.34,0.15,3.09,bad
6.8,0.28,0.4,2.93,bad
6.9,0.27,0.4,3.18,bad
6.8,0.26,0.56,3.02,bad
6.8,0.29,0.56,3.02,bad
6.7,0.24,0.41,3.12,bad
5.9,0.3,0.23,3.15,bad
6.8,0.53,0.35,3.26,good
6.5,0.28,0.28,3.09,bad
6.6,0.28,0.28,3.09,bad
6.8,0.28,0.4,2.93,bad
6.8,0.28,0.36,3.02,bad
6.6,0.15,0.34,3.36,bad
6.4,0.29,0.44,3.02,bad
6.4,0.3,0.45,3.02,bad
6.4,0.29,0.44,3.01,bad
6.8,0.26,0.24,3.13,bad
7.1,0.32,0.24,3.1,bad
6.8,0.26,0.24,3.13,bad
6.8,0.27,0.26,3.15,bad
7.1,0.32,0.24,3.1,bad
6.9,0.54,0.32,3.2,bad
6.8,0.26,0.34,3.33,bad
5.8,0.28,0.35,3.28,bad
6.4,0.21,0.5,3.15,bad
7,0.16,0.32,3.21,bad
10.2,0.44,0.88,2.99,bad
6.8,0.57,0.29,3.32,bad
6.1,0.4,0.31,3.22,bad
5.6,0.245,0.25,3.31,bad
6.8,0.18,0.38,3.32,good
7,0.16,0.32,3.21,bad
6.7,0.13,0.29,3.44,bad
6.2,0.25,0.25,3.3,good
5.8,0.26,0.24,3.31,bad
7.5,0.27,0.36,3.03,bad
5.8,0.26,0.24,3.31,bad
5.7,0.28,0.24,3.31,bad
7.5,0.23,0.36,3.04,bad
7.5,0.27,0.36,3.03,bad
7.2,0.685,0.21,3,bad
6.2,0.25,0.25,3.3,good
6.5,0.19,0.3,3.42,bad
6.3,0.495,0.22,3.39,bad
7.1,0.24,0.41,3.32,bad
6.4,0.17,0.32,3.5,bad
7.1,0.25,0.32,3.17,bad
6.4,0.17,0.32,3.5,bad
7.1,0.24,0.41,3.32,bad
6.8,0.64,0.08,3.37,bad
8.3,0.28,0.4,3.34,bad
8.2,0.27,0.39,3.31,bad
7.2,0.23,0.38,3.09,bad
7.2,0.23,0.38,3.09,bad
7.2,0.23,0.38,3.09,bad
7.2,0.23,0.38,3.09,bad
6.8,0.52,0.32,3.27,bad
7,0.26,0.59,3.34,good
6.2,0.25,0.21,3.48,bad
7.3,0.32,0.23,3.2,bad
7.7,0.31,0.26,3.13,bad
7.1,0.21,0.37,3.15,good
6.8,0.24,0.34,3.3,bad
6.9,0.4,0.56,3.14,bad
6.1,0.18,0.36,3.37,bad
6.8,0.21,0.27,3.16,good
5.8,0.2,0.27,3.25,good
5.6,0.19,0.26,3.25,good
6.1,0.41,0.14,3.38,bad
5.9,0.21,0.28,3.72,bad
8.5,0.26,0.21,3.02,bad
6.9,0.4,0.56,3.14,bad
5.8,0.24,0.44,3.53,bad
5.8,0.24,0.39,3.21,bad
6.7,0.26,0.39,3.32,good
6.3,0.35,0.3,3.27,good
6.3,0.35,0.3,3.27,good
6.4,0.23,0.39,3.32,bad
5.8,0.36,0.38,3.28,bad
6.9,0.115,0.35,3.32,bad
6.9,0.29,0.4,2.93,bad
6.9,0.28,0.4,3.17,bad
7.2,0.29,0.4,3.08,bad
6.2,0.24,0.35,3.1,bad
6.9,0.29,0.4,2.93,bad
6.9,0.32,0.26,3.25,bad
5.3,0.58,0.07,3.34,bad
5.3,0.585,0.07,3.34,bad
5.4,0.59,0.07,3.34,bad
6.9,0.32,0.26,3.25,bad
5.2,0.6,0.07,3.33,bad
5.8,0.25,0.26,3.29,bad
6.6,0.58,0.3,3.24,bad
7,0.29,0.54,3.05,bad
6.6,0.19,0.41,3.14,bad
6.7,0.2,0.41,3.14,bad
7.7,0.26,0.4,2.89,bad
6.8,0.32,0.34,3.05,bad
7,0.3,0.49,3.26,good
7,0.24,0.36,3.19,good
6.1,0.31,0.58,3.3,good
6.8,0.44,0.37,3.08,bad
6.7,0.34,0.3,3.19,bad
7.1,0.35,0.24,3.12,bad
7.3,0.32,0.25,3.08,bad
6.5,0.28,0.33,3.22,bad
7.2,0.23,0.39,2.98,good
7.2,0.23,0.39,2.98,good
7.2,0.23,0.39,2.98,good
7.2,0.23,0.39,2.98,good
5.9,0.15,0.31,3.52,bad
7.4,0.28,0.42,2.96,bad
6.2,0.28,0.22,3.44,good
9.1,0.59,0.38,3.23,bad
6.3,0.33,0.27,3.37,bad
8.3,0.39,0.7,3.09,bad
7.2,0.19,0.46,3.19,good
7.5,0.17,0.44,3.17,bad
6.7,0.17,0.5,3.15,bad
6.1,0.41,0,3.27,bad
8.3,0.2,0.35,3.13,bad
6.1,0.41,0,3.27,bad
6,0.29,0.21,3.32,bad
7.3,0.41,0.24,3.2,bad
7.3,0.41,0.24,3.2,bad
7.2,0.43,0.24,3.2,bad
7.3,0.4,0.24,3.2,bad
6.2,0.33,0.27,3.2,good
6.2,0.31,0.26,3.21,bad
6.1,0.36,0.27,3.4,good
5,0.55,0.14,3.53,good
7.8,0.25,0.41,3.36,bad
5.7,0.36,0.21,3.29,bad
5.8,0.34,0.21,3.29,bad
6.8,0.28,0.6,3.09,bad
6.8,0.25,0.34,3.21,bad
6.6,0.24,0.35,3.19,bad
5.9,0.3,0.47,3.52,good
6.1,0.125,0.25,3.54,bad
6,0.1,0.24,3.61,good
6.6,0.24,0.35,3.19,bad
6.8,0.25,0.34,3.21,bad
6.8,0.28,0.44,3.16,bad
8.3,0.41,0.51,3.02,bad
7.5,0.27,0.31,3.18,bad
7.9,0.26,0.41,2.96,bad
6.4,0.34,0.23,3.19,bad
6.5,0.28,0.35,3.23,bad
7.2,0.21,0.41,3.17,bad
6.4,0.32,0.35,3.36,good
6.8,0.24,0.34,3.2,bad
6.3,0.23,0.3,3.28,bad
6.5,0.28,0.34,3.11,bad
5.6,0.26,0.26,3.25,bad
6.3,0.23,0.3,3.28,bad
6.3,0.23,0.33,3.32,bad
5.8,0.27,0.27,3.28,bad
5.9,0.26,0.4,3.45,bad
6.6,0.18,0.35,3.43,good
7.4,0.2,0.43,3.19,good
8,0.24,0.36,3.2,bad
6.4,0.26,0.42,3.18,bad
5.4,0.31,0.47,3.29,bad
5.4,0.29,0.47,3.29,bad
7.1,0.145,0.33,3.28,bad
5.6,0.34,0.1,3.36,good
6.7,0.19,0.41,3.2,bad
7.8,0.18,0.46,3.15,bad
7.6,0.17,0.45,3.15,bad
6.3,0.12,0.36,3.27,good
7.3,0.33,0.4,3.03,good
5.5,0.335,0.3,3.14,bad
7.3,0.33,0.4,3.03,good
5.8,0.4,0.42,3.25,bad
7.3,0.22,0.37,2.89,bad
7.3,0.22,0.37,2.89,bad
6.1,0.36,0.33,3.15,bad
10,0.2,0.39,3,bad
6.9,0.24,0.34,3.2,bad
6.4,0.24,0.32,3.28,bad
7.1,0.365,0.14,3.15,bad
6.8,0.15,0.3,3.4,bad
7.3,0.22,0.37,2.89,bad
6.8,0.16,0.4,3.49,good
6,0.26,0.32,3.4,good
6,0.18,0.27,3.49,bad
6.9,0.33,0.21,3.12,bad
7.7,0.29,0.48,3.17,bad
7.1,0.39,0.35,3.17,bad
6.9,0.33,0.21,3.12,bad
7.7,0.29,0.48,3.17,bad
6.6,0.905,0.19,3.34,bad
7.2,0.27,0.27,3.1,bad
5.1,0.33,0.22,3.51,good
5.1,0.33,0.22,3.51,good
6.4,0.31,0.28,3.32,good
7.3,0.2,0.44,3.15,good
5.7,0.32,0.5,3.22,bad
6.4,0.31,0.28,3.32,good
7.3,0.2,0.44,3.15,good
7.2,0.28,0.26,3.1,bad
7.5,0.35,0.28,3.12,bad
7.2,0.27,0.27,3.1,bad
6,0.36,0.39,3.38,good
5.1,0.33,0.22,3.51,good
5,0.17,0.56,3.48,good
6.3,0.39,0.35,3.12,bad
6.7,0.21,0.32,3.39,bad
7,0.3,0.38,3.18,good
7,0.3,0.38,3.18,good
6.5,0.36,0.32,3.1,bad
6.1,0.55,0.15,3.36,bad
7.3,0.24,0.43,3.08,bad
6.8,0.37,0.51,3.19,bad
6.8,0.27,0.12,3.18,bad
8.2,0.28,0.42,3.09,bad
6.3,0.2,0.4,3.46,bad
5.9,0.26,0.27,3.35,bad
6.4,0.19,0.42,3.3,bad
6.3,0.2,0.4,3.46,bad
6.8,0.37,0.51,3.19,bad
6.1,0.35,0.07,3.23,bad
7.1,0.27,0.31,3.07,bad
6.8,0.22,0.31,3.24,bad
6.8,0.27,0.12,3.18,bad
5.8,0.28,0.34,3.39,good
6.9,0.49,0.24,3.17,bad
6.3,0.14,0.39,3.26,bad
8.2,0.28,0.42,3.09,bad
7.2,0.25,0.39,2.97,bad
7.3,0.28,0.36,3.3,bad
7.2,0.19,0.39,3.16,bad
7.2,0.19,0.39,3.16,bad
7.2,0.25,0.39,2.97,bad
7.3,0.28,0.36,3.3,bad
7.4,0.21,0.27,3.19,bad
6.8,0.26,0.22,3.1,bad
7.4,0.21,0.27,3.19,bad
7.4,0.31,0.28,3.31,bad
7,0.22,0.31,3.16,good
7,0.21,0.28,3.25,bad
7,0.21,0.28,3.25,bad
7,0.21,0.28,3.25,bad
6.9,0.23,0.38,3.34,good
7,0.21,0.28,3.25,bad
7,0.21,0.28,3.25,bad
6.8,0.29,0.5,3.09,bad
7.8,0.21,0.27,3.06,bad
7.1,0.31,0.47,3.1,bad
6.8,0.29,0.5,3.09,bad
6.4,0.34,0.1,3.21,bad
7.4,0.155,0.34,3.18,good
7.2,0.55,0.09,3.07,bad
7,0.23,0.36,3.35,good
6.9,0.2,0.37,3.38,good
6.1,0.28,0.32,3.27,bad
6.6,0.16,0.32,3.35,good
7.4,0.155,0.34,3.18,good
6.2,0.35,0.04,3.26,bad
6.7,0.22,0.37,3.29,good
6.1,0.38,0.2,3.3,bad
6,0.25,0.28,3.43,good
6.6,0.52,0.44,3.26,bad
6.9,0.24,0.36,3.2,bad
7.1,0.32,0.32,3.24,bad
5.8,0.28,0.27,3.53,bad
6.5,0.41,0.24,3.44,bad
6.5,0.41,0.24,3.44,bad
6.4,0.28,0.29,3.48,good
7.2,0.6,0.2,3.03,bad
6.1,0.2,0.25,3.24,bad
5.9,0.46,0.14,3.46,good
6,0.27,0.27,3.41,good
6.4,0.28,0.29,3.48,good
6.4,0.41,0.24,3.44,bad
6.3,0.23,0.31,3.3,good
7.1,0.21,0.27,2.95,bad
6,0.37,0.32,3.29,bad
6.1,0.43,0.35,3.37,bad
7.1,0.21,0.27,2.95,bad
7,0.25,0.29,3.22,bad
5.9,0.25,0.19,3.35,bad
6.8,0.32,0.21,3.17,bad
7.2,0.39,0.62,3.16,bad
6.3,0.21,0.58,2.95,bad
7,0.14,0.32,3.22,bad
6.8,0.32,0.21,3.17,bad
7.2,0.39,0.62,3.16,bad
7.2,0.29,0.53,3.09,bad
8.6,0.37,0.7,3,bad
6.5,0.38,0.34,3.14,bad
6.6,0.24,0.29,3.25,bad
7,0.17,0.31,3.36,good
5.5,0.16,0.22,3.24,bad
7,0.24,0.51,3.03,bad
7.4,0.28,0.36,2.99,good
7,0.22,0.28,3.11,bad
7.1,0.55,0.13,2.97,bad
6.3,0.22,0.33,3.32,bad
6.7,0.47,0.34,3.22,bad
5.9,0.36,0.41,3.33,bad
5.8,0.25,0.24,3.34,bad
6.7,0.47,0.34,3.22,bad
6.2,0.37,0.3,3.29,bad
6.2,0.18,0.38,3.47,bad
6,0.16,0.37,3.46,bad
6.6,0.34,0.28,3.1,bad
7.4,0.29,0.29,3.34,bad
7.4,0.26,0.31,3.13,bad
7,0.28,0.36,3.09,bad
7.1,0.23,0.39,3.25,good
7.8,0.19,0.26,3.18,bad
6.3,0.19,0.28,3.2,bad
6.8,0.2,0.38,3.37,bad
5.7,0.44,0.13,3.33,bad
7.2,0.4,0.62,3.08,bad
6.8,0.23,0.32,3.29,bad
5.7,0.335,0.34,3.27,bad
7.2,0.4,0.62,3.08,bad
7.2,0.28,0.54,3.08,bad
6.8,0.19,0.58,3.12,bad
6.4,0.3,0.3,3.2,bad
6.5,0.3,0.29,3.19,bad
7.8,0.18,0.31,3.06,bad
7.8,0.18,0.31,3.06,bad
7.3,0.51,0.26,3.01,bad
6,0.24,0.27,3.64,good
5.9,0.62,0.28,3.44,bad
6,0.24,0.27,3.64,good
6.7,0.27,0.12,3.21,bad
7.8,0.34,0.35,3.11,bad
7.3,0.26,0.36,3.16,bad
7.4,0.36,0.33,3.21,bad
7.8,0.28,0.32,3.17,good
6.1,0.31,0.26,3.37,bad
6.8,0.18,0.37,3.08,bad
7.4,0.15,0.42,3,bad
5.9,0.13,0.28,3.43,bad
7.2,0.34,0.34,3.19,bad
7.9,0.19,0.26,3.05,bad
7.9,0.19,0.26,3.05,bad
6.9,0.25,0.4,3.03,bad
5.8,0.36,0.32,3.03,bad
5.6,0.35,0.37,3.37,bad
5.9,0.32,0.39,3.09,bad
7.2,0.31,0.46,3.04,bad
6.1,0.28,0.22,3.36,bad
5.2,0.36,0.02,3.44,bad
5.6,0.19,0.47,3.56,bad
6.4,0.1,0.35,3.43,bad
6.4,0.18,0.48,3.06,bad
7.4,0.25,0.36,3.01,bad
7.4,0.25,0.36,3.01,bad
7.4,0.25,0.36,3.01,bad
7.9,0.345,0.51,3.09,bad
7.9,0.345,0.51,3.09,bad
7.4,0.25,0.36,3.01,bad
6.1,0.24,0.3,3.31,bad
6.8,0.25,0.24,3.37,bad
6.7,0.31,0.31,3.46,bad
7.2,0.46,0.65,3.16,bad
5.5,0.35,0.35,3.34,bad
6.7,0.24,0.41,3.22,bad
6.8,0.28,0.17,3.21,bad
6.4,0.16,0.22,3.49,bad
6.3,0.26,0.24,3.49,bad
7.7,0.22,0.42,3.3,bad
6.5,0.18,0.31,3.49,good
7.2,0.46,0.65,3.16,bad
7,0.3,0.51,3.07,good
9.2,0.25,0.34,2.93,good
7.8,0.28,0.34,3,good
7,0.3,0.51,3.07,good
7.8,0.28,0.34,3,good
9.2,0.25,0.34,2.93,good
8.4,0.35,0.71,2.98,bad
6.1,0.41,0.24,3.32,bad
5.9,0.21,0.24,3.25,bad
7.2,0.34,0.44,3.01,bad
6.7,0.21,0.42,3.12,good
5.9,0.37,0.1,3.24,bad
7.7,0.34,0.27,3.09,bad
7.4,0.3,0.22,3.08,good
6.8,0.51,0.3,3.2,bad
7.8,0.22,0.38,3.12,bad
7.2,0.35,0.34,3.13,bad
6,0.26,0.5,3.08,bad
6.1,0.26,0.51,3.08,bad
6.5,0.28,0.27,3.19,bad
7.4,0.41,0.66,3.05,bad
6.5,0.28,0.29,3.32,good
6.7,0.34,0.54,3.04,bad
7.2,0.2,0.34,3.16,good
7.4,0.2,0.33,3.17,good
8.2,0.22,0.3,3.13,bad
8.2,0.23,0.29,3.13,bad
7.1,0.22,0.33,3.15,good
6.5,0.28,0.29,3.32,good
6,0.38,0.26,3.38,good
7.4,0.41,0.66,3.05,bad
5.7,0.18,0.22,3.35,bad
7.3,0.3,0.22,3.13,bad
7.4,0.24,0.22,2.86,bad
6.6,0.25,0.3,3.42,good
7.4,0.24,0.22,2.86,bad
7.4,0.26,0.3,3.13,bad
6.1,0.32,0.25,3.47,good
6.9,0.28,0.27,3.42,good
7,0.23,0.33,3.19,bad
7.1,0.31,0.5,2.94,bad
7.3,0.2,0.37,3.32,bad
6.9,0.41,0.33,3.2,bad
6.4,0.45,0.07,2.97,bad
6.4,0.475,0.06,2.97,bad
6.3,0.27,0.38,3.45,good
6.9,0.41,0.33,3.2,bad
7,0.29,0.37,3.17,bad
5.9,0.27,0.29,3.35,good
6.9,0.19,0.4,3.08,good
6.7,0.3,0.35,3.11,bad
7.2,0.24,0.4,2.88,bad
6.4,0.45,0.07,2.97,bad
6.4,0.475,0.06,2.97,bad
6.3,0.26,0.49,2.99,bad
6.3,0.26,0.49,2.99,bad
7.3,0.25,0.29,3.43,bad
7.3,0.25,0.29,3.43,bad
6.1,0.28,0.25,3.34,bad
7.4,0.37,0.35,3.48,bad
6.5,0.36,0.28,3.25,good
7.4,0.24,0.4,3.09,bad
7.5,0.23,0.68,2.99,bad
7.5,0.21,0.68,3,bad
7.5,0.21,0.68,3,bad
7.5,0.23,0.68,2.99,bad
7.8,0.32,0.33,3.21,good
7.8,0.26,0.27,3.23,bad
7.7,0.24,0.27,3.23,bad
7.4,0.19,0.3,3.12,bad
6.5,0.46,0.41,3.18,bad
6.5,0.26,0.43,2.85,bad
5.3,0.32,0.12,3.36,bad
7.2,0.24,0.34,3.23,bad
6,0.36,0.06,3.26,bad
6.2,0.24,0.29,3.33,good
7.6,0.56,0.12,3.32,bad
7,0.32,0.24,3.23,bad
7,0.32,0.24,3.23,bad
5.8,0.31,0.33,3.18,bad
7,0.23,0.42,3.22,bad
7,0.23,0.42,3.22,bad
6.9,0.24,0.33,3.26,bad
6,0.29,0.2,3.33,bad
6.1,0.17,0.28,3.43,bad
5.9,0.14,0.25,3.49,bad
6.2,0.17,0.28,3.41,good
7.4,0.28,0.25,3.1,bad
5.6,0.35,0.14,3.3,bad
5.8,0.335,0.14,3.3,bad
5.6,0.235,0.29,3.34,good
6.1,0.28,0.25,3.25,bad
6.3,0.21,0.33,3.36,bad
6.4,0.24,0.28,3.31,bad
6.4,0.24,0.29,3.31,bad
6.3,0.26,0.25,3.24,bad
6.5,0.33,0.72,3.09,bad
7.4,0.105,0.34,3.16,bad
6,0.32,0.12,3.16,bad
7.1,0.26,0.34,3.07,good
7.1,0.26,0.34,3.07,good
7.1,0.26,0.34,3.07,good
7.1,0.26,0.34,3.07,good
5.9,0.24,0.26,3.34,bad
6.5,0.21,0.37,3.33,good
7.7,0.27,0.35,3.11,bad
9,0.27,0.35,3.04,bad
7.3,0.34,0.21,3.25,bad
6.6,0.27,0.25,3.24,bad
6.8,0.29,0.16,3.15,bad
7.1,0.28,0.26,3.15,bad
6.8,0.25,0.34,3.37,good
7,0.57,0.1,3.4,bad
7.1,0.28,0.26,3.15,bad
7.1,0.17,0.38,3.35,bad
7.8,0.28,0.22,3.28,bad
