Cocktail Name,Bartender,Bar/Company,Location,Ingredients,Garnish,Glassware,Preparation,Notes
Basil Gin and Tonic,,,,"1 oz Lime Juice, 1 spg Basil, 2 oz Tonic Water, 1 oz Junipero Gin",,N/A,"Muddle the basil with the lime juice, then add tonic water. Fill glass with ice and stir in the gin.",
Kumquat Smash,Francesco Lafranconi,,,"1 oz Luxardo Triplum (Triple Sec), 1 oz Ypioca Brasilizar Cachaca Prata Classica, .5 oz Luxardo Sour Cherry Syrup (Previously Amarena), 5  Kumquats, 1 float Mango Flavored Rum",Edible Flower,N/A,Muddle the fruit with syrup in a mixing glass. Add ice and shake vigorously. Pour all ingredients(do not strain) in a tumbler glass. Add a float of Mango flavored Rum.,
Mystique Green (Adapted),Francesco Lafranconi,,,"1.5 oz No.3 London Dry Gin, .75 oz Luxardo Triplum (Triple Sec), .75 oz Elderflower Liqueur, 1 oz Fresh lime juice, .5  Kiwi",Lotus root,N/A,Muddle the kiwi pulp with lime juice in a shaker tin. Add ice and liquors and shake vigorously. Strain into a chilled cocktail glass.,"Adapted from Francesco Lafranconi's recipe in the Luxardo cocktail book. He originally called for Luxardo Dry Gin, which we have replaced with No.3 London Dry Gin."
Nara Mule,Eduardo Val Naval,A Japanese Kirikata,Spain,"2  Kumquats, 2  Lychee, 2 oz Bulleit Rye, 1 oz King's Ginger Liqueur, .75 oz Fresh Lemon Juice, .5 oz Simple Syrup, .5 oz Egg White, .5 oz Fever Tree Ginger Beer","Kumquats Skewer, Pansy Petal",Highball Glass,"Muddle the kumquats and lychee in a cocktail shaker. Add the whiskey, King's Ginger, lemon juice, syrup and white egg, and shake very hard. Double strain into a highball glass filled with ice spheres.",
The Reserved King,Jeff Hollinger,,,"2.5 oz Glenrothes Vintage Reserve, .5 oz King's Ginger Liqueur, 3-4 dash Angostura Bitters,   Lemon Peel",,N/A,"Muddle the lemon peel and bitters with the King’s Ginger to release the oils.  Add scotch, stir, and enjoy.",
Buccaneer,Duggan McDonnell,,,"2 oz Junipero Gin, .5 oz Campari, .5 oz Velvet Falernum, 1 oz Lime Juice, .5 oz Simple Syrup, 3 large chunks Pineapple",,Coupe,Muddle the pineapple adding more or less simple syrup as needed and depending on sweetness of the pineapple. Add all other ingredients. Give the mixture a hard shake. Double strain into chilled coupe.,
Sage & Sound,Brian Means,Michael Mina Restaurant Group,San Francisco,"1.5 oz Junipero Gin, 1 oz White Port, .75 oz Lemon Juice, .5 oz Honey Cinnamon Syrup*, 1  Whole Egg, 8  Muddled Sage Leaves",Whole Star Anise,Coupe,"Muddle the sage in a mixing tin. Add the remaining ingredients and dry shake (no ice) for 15 seconds. Add ice and shake another 15 seconds to chill down the drink. Double strain into a large coupe glass. Garnish with a whole star anise floated in the middle of the egg white.

*Honey Cinnamon Syrup:
-- 16 oz Honey
-- 2 Cinnamon Sticks
-- 8 oz Water
Combine all the ingredients together in a pot. Place on the stove and bring to a simmer, stirring the honey so it doesn’t burn and let the pot simmer for 20 minutes. Remove from heat and place on an ice bath. Place in a container and label and date it. Store in the fridge for up to 2 weeks.",Junipero Gin 20th Anniversary Signature Cocktail
Japonais No.3,Bruce Cole,Japonais,Chicago,"1.5 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, 1 oz Orange juice, 1 dash Simple syrup, 2  Cucumber slices, muddled, 2  Raspberries, muddled",Candied Ginger Stick,Highball Glass,"Muddle two cucumber slices, two raspberries and simple syrup in a highball, add ice. Shake gin, ginger liqueur and orange juice with ice. Strain into highball glass.  Garnish with a candied ginger stick.",
PDA,William Golde,,,"1.5 oz New York Apple Whiskey, 1 oz King's Ginger Liqueur, .75 oz Lemon, .5 oz Lemongrass ginger syrup, .5 oz Egg white","Cinnamon stick, Apple",N/A,"Muddled ginger root. Shaken, served up, cinnamon stick and apple to garnish.",
Apples & Grapes,Matt Grippo,Blackbird,San Francisco,"1.5 oz Tempus Fugit Kina L'Aero d'Or, 1 oz C. Drouin Pommeau de Normandie, 2 dash Orange Bitters",,N/A,On the rocks with twist.,Vermouth on the Roof 8/2015
The Proverb,,,,"2 oz H by HINE, .5 oz Maurin Quina, .25 oz Luxardo Maraschino Liqueur, 1 dash Angostura Bitters, 2 dash Black Walnut Bitters",Luxardo Cherry,Double Rocks Glass,Place all ingredients in a mixing glass. Add ice and stir until proper dilution. Strain over a large hand cut ice cube placed in a double rocks glass. Garnish with a Luxardo Maraschino Cherry on a pick.,
Raspberry Batida,,,,"2 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, 1 oz Sweetened Condensed Coconut Milk, 1 oz Almond Milk, .5 oz Briottet Creme de Framboise (Raspberry), .5 oz Tempus Fugit Creme de Cacao, 1 handful Fresh Raspberries, 2 dash Rubarb Bitters",Orange Wedge,Highball Glass,"Place all ingredients in a mixing tin, muddle fresh raspberries, add ice and shake until tin is frosty. Strain into a chilled highball glass. Garnish with orange wedge.",
Ode to Kinshi,Shaher Misif,,,"1.5 oz Nikka Whisky Yoichi Single Malt 15 YO, .75 oz Cocchi Americano Rosa, .5 oz Luxardo Amaro Abano, 5 dash Bittermens Xocolatl Mole Bitters",Red Delicious Apple Slice,Coupe,Place all ingredients into a Yarai mixing glass with ice and stir. Strain into a coupe. Garnish with an apple slice.,
Junipero Gin and Tonic,,,,"2 oz Junipero Gin, 4 oz Fever-Tree Tonic Water, 3 cubes Tonic Water Ice Cubes*",(see instructions),Rocks Glass,"Place ice cubes in a rocks glass. Add ingredients. Garnish with your choice of: rosemary, basil, lavender, edible flowers, or a lemon, lime or orange twist.

*Tonic Water Ice Cubes:
Fill an ice cube tray with tonic water and freeze.",
L'Aviation,,,,"1.5 oz No.3 London Dry Gin, 0.5 oz Luxardo Maraschino Liqueur, 0.5 oz Tempus Fugit Liqueur de Violettes, .75 oz Fresh lemon juice",Lemon peel,Martini,Place ingredients in a shaker with ice and shake hard for seven seconds. Double strain into a chilled martini glass and garnish with lemon peel.,
The Kings Mule,Marvin Allen,Hotel Monteleone,New Orleans,"1 oz King's Ginger Liqueur, 3 dash Orange Bitters, 5 oz Sparkling Wine",,Champagne Flute,"Place King's Ginger and orange bitters in a Champagne flute, and top with sparkling wine. No garnish.",Featured on The Tales of the Cocktail 2016 Carousel Bar Menu
The Bacchus Cocktail,Francesco Lafranconi,,,"5  Concord grapes, 3  Blackberries, 1.5 oz BarSol Primero Quebranta Pisco, 1 oz Crème Yvette, 1 oz Lemon juice, .5 oz Egg white","Concord grapes, Lemon peel, twisted",Coupe,"Place the Concord grapes and blackberries in a shaker and muddle. Add the rest of the ingredients and ice. Shake, and strain into a chilled coupe. Garnish with Concord grapes and lemon peel twisted to release oils.","Published on Liquor.com 10.05.2015 <a href=""http://liquor.com/recipes/the-bacchus/"" target=""_blank"">http://liquor.com/recipes/the-bacchus</a>"
Garrison's New Fashioned,Francesco Lafranconi,,,"2 oz Garrison Brothers Flagship Bourbon, .5 oz Luxardo Apricot Liqueur, 2 dash Australian Bitters Company Aromatic Bitters,   Lemon Peel","Luxardo Cherry, Orange Slice",Old Fashioned Glass,"Place the lemon peel in an Old Fashioned glass and muddle with bitters. In a mixing glass filled with ice, add the bourbon and apricot liqueur, then strain into the glass. Garnish with cherry and orange slice, and serve over an ice sphere.","This sophisticated take on the classic Old Fashioned will impress cocktail purists, bourbon-lovers and experimental mixologists alike. Garrison Brothers Flagship Bourbon is as smooth a whiskey as they come, with rich flavors that unfold for a buttery, caramelized-sugar finish. When met with the sweet apricot liqueur and the bitterness from the muddled lemon peel and the aromatic bitters, you get a truly complex drink."
Pina Del Este,Francesco Lafranconi,,,"1.5 oz Luxardo Amaretto di Saschira, 4  Lime wedges, 1  Pinapple wheel, .5 oz Gomme syrup, 1 float Pisco ",Edible flower,Rocks Glass,"Place the lime wedges and pinapple in a tumbler glass with gomme syrup and muddle briskly, then add ice and Amaretto. Stir well and serve with a float of Pisco.",
Vida Verde (Adapted),Francesco Lafranconi,,,"1.5 oz Chinaco Blanco Tequila, .75 oz Luxardo Maraschino Liqueur, 1.5 oz Lime Sweet n' Sour mix,  oz Cucumber wheels,  oz Sprigs of Mint",Cucumber wheels,N/A,"Place the mint and cucumber in a mixing glass and muddle briskly, then add sour mix and liquor. Shake with ice and double strain over ice into a stemmed glass.","Adapted from Francesco Lafranconi's recipe in the Luxardo cocktail book. He originally called for Agave Tequila Blanco-style, which we have replaced with Chinaco Blanco."
Culebra,Francesco Lafranconi,,,"1.5 oz Rhum Agricole-style, .75 oz Luxardo Amaretto di Saschira, .5 oz Fresh lime juice, 4 oz Cola, 3 oz Mint sprigs, 2 dash Bitters",Fresh mint sprig,Collins,"Place the mint in a Collins glass and muddle for a few seconds to release the oils, then add ice and ingredients, stir well and serve.",
Morlacco Julep,Francesco Lafranconi,,,"1.25 oz Brandy de Jerez, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, 4 sprigs Mint, 1 float Luxardo Amaretto di Saschira","Mint Sprigs, Luxardo Cherries",N/A,"Place the mint in a tumbler glass and muddle briskly to release the essential oils, then add the cherry liqueur and the brandy. Fill up the glass with crushed ice, stir well and serve with a float of Luxardo Amaretto. Garnish with 4 sprigs of mint and 3 Luxardo Cherries.",
Sorrentino,Francesco Lafranconi,,,"1 oz Luxardo Limoncello, 1 oz Luxardo Bitter, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 oz Club Soda,   Fresh Thyme",Orange slice,Rocks Glass,"Place the thyme in a tumbler glass and muddle to release the oils, then add ice and ingredients, stir well and serve.",
SOMA Fizz,,,,"1.5 oz Junipero Gin, .5 oz Lemon juice, .75 oz Luxardo Triplum (Triple Sec), .75 oz Heavy Cream, 2 dash Orange Bitters, 2 oz Club Soda",Orange wedge,Collins,Pour 2 oz. of Club Soda into a Collin’s Glass. Hard shake first fIve ingredients with ice for at 20 seconds. Slowly strain into the Collins glass. Garnish with an orange wedge.,
The Ginger Royale,,,,"35 ml King's Ginger Liqueur, 140 ml Champagne",,N/A,Pour a generous measure of The King's Ginger into a flute. Add chilled Champagne to taste.,
The Royal King,,,,"1 oz King's Ginger Liqueur, 4 oz Champagne",,Champagne Flute,Pour a generous measure of The King's Ginger into a flute. Add chilled Champagne to taste.,
Brazilian Mai Tai,,,,"1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 3 oz Mai Tai Mix, 1 splash Soda Water, 1 float English Harbour Rum",Lime Wheel,Bucket,"Pour all ingredients and shake in tin. Pour into bucket. Top with rum float, then garnish.",
Sorriso (Adapted),Francesco Lafranconi,,,"1 oz No.3 London Dry Gin, 1 oz Pear flavored Vodka, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Sherry, 2 dash Bitters",Orange twist,Martini,Pour all ingredients in a mixing glass filled with ice. Stir well and strain into a chilled cocktail glass.,"Adapted from Francesco Lafranconi's recipe in the Luxardo cocktail book. He originally called for Luxardo Dry Gin, which we have replaced with No.3 London Dry Gin."
Pacific Breeze,Francesco Lafranconi,,,"1.5 oz Luxardo Triplum (Triple Sec), .75 oz Watermelon Liqueur, 3 oz Cranberry juice,  oz Fresh lime sweet n' sour mix",Fresh watermelon,Collins,Pour all ingredients in a shaker with ice. Shake and strain over ice into a Collins or Pilsner glass.,
Heart Breaker,Sother Teague,Amor y Amargo,New York,"1.5 oz Bonded Rye, .5 oz Luxardo Amaro Abano, .5 oz Punt e Mes, 7 dash Angostura Bitters",Lemon Twist,Cocktail Glass,Pour all ingredients into a mixing glass with ice. Stir to chill and dilute. Strain into a chilled cocktail glass. Express the oil from the twist over the drink and discard.,
Negroni,,,,"1 oz No.3 London Dry Gin, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 oz Luxardo Bitter",Orange Twist,Rocks Glass,"Pour all ingredients into an ice-filled old-fashioned glass, and stir approximately 20 seconds. Add garnish.","For a slightly sweeter version, replace Luxardo bitters with Aperol."
Blood & Sand,,,,".75 oz Glenrothes Vintage Reserve, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .75 oz Orange Juice",Flamed Orange Peel,Coupe,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into coupe glass. Flame orange zest over the top of the glass.,
Harms' Way,Taylor Wright,,Houston,"1 oz Luxardo Bitter Bianco, 1.25 oz Blanco Tequila, .25 oz D.O.M Benedictine, 1 dash Bittermens Xocolatl Mole Bitters",Lemon Peel,Coupe,"Pour all liquid ingredients into a mixing glass and stir about 55 times for proper dilution and optimal clarity. Strain into a chilled coupe. Twist fresh lemon peel over cocktail for aroma. Garnish with a simple lemon peel, trimmed neatly.",
Amaretto Rose,,,,"1.5 oz Luxardo Amaretto di Saschira, .5 oz Lime Juice,  fill Club Soda",,Collins,Pour Amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,
The Touch  of Glass,,,,"1.5 oz Brandy de Jerez (Foie Gras-Infused), 2-3 drops Truffle Tincture,   Atomized Pipe Tobacco Essence",,Brandy Snifter,"Pour brandy into a brandy snifter. Top with 2-3 drops of truffle tincture. Spray Pipe Tobacco Essence on wrist. Smell wrist, sip drink, and enjoy.",
La Capilla,Maxwell Britten,,,"1.5 oz Mezcal, .75 oz Pierre Ferrand Curaçao, .5 oz Gordy’s Cocktail Pickle Brine, 1 oz Watermelon Juice, .5 oz Fresh Grapefruit Juice, .5 oz Fresh Lime Juice","Watermelon Wedge, Lime Zest, Maldon Sea Salt",Double Rocks Glass,"Pour ingredients in a shaker tin, add ice and shake well. 

Fine strain the drink into a double rocks glass filled with ice.
 
Balance a small watermelon triangle on top of the glass. Grate fresh lime zest on top using a microplane, and then sprinkle with Maldon salt.",
Palais Royal,,,,"3 oz Champagne, 1 oz H by HINE, .33 oz Cherry Brandy, 1 tsp Lemon Juice","Luxardo Cherry, Lemon Slice",Wine Glass,Pour ingredients into a wine glass half-filled with crushed ice. Garnish with a half-slice of lemon and a maraschino cherry.,
Rothes Julep,,,,"2 oz Glenrothes Vintage Reserve,   Simple Syrup, 5  Mint Leaves",Mint Sprig,Rocks Glass,Pour ingredients into cocktail shaker and shake vigorously with ice. Strain into a rocks glass over crushed ice with a mint sprig garnish.,
Rio De Janeiro Mule,,,,"1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 1.5 oz Ginger Citrus Agave Blend, 5 oz Ginger Ale, 1 dash Aromatic Bitters",Lime Wheel,Copper Mug,"Pour ingredients into mug, fill with ice. top with ginger ale. Roll into tin. Roll back into mug. Garnish.",
Fernet Frappe,Francesco Lafranconi,,,"1.5 oz Luxardo Fernet, .5 oz King's Ginger Liqueur, 2 oz Cola, 1 wedge Lemon juice",Fresh English Mint,N/A,"Pour ingredients over crushed ice into a stemmed glass, stir well and serve.",
Red Bud Trail,,Bonneville,Austin,"1.5 oz No.3 London Dry Gin, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Dry Vermouth, .25 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Angostura Bitters",Orange Twist,Martini,Pour into shaker over ice and shake well. Serve straight up in a martini glass with an orange twist.,"Recipe Credit: Jennifer Costello, Charles Lintott & Sarah Holmes"
The Twinger ,,,,"1.5 oz King's Ginger Liqueur,  top Fever-Tree Ginger Ale, 2 dash Angostura Bitters ",Lime Squeeze,Collins,"Pour King's Ginger into an ice-filled collins glass. Top off with Fever-Tree Ginger Ale. Add bitters, and squeeze lime over and serve.",
No.3 & T,,,,"1.5 oz No.3 London Dry Gin, 1 lemon Lemon, 1 fill Tonic water",,Rocks Glass,Pour No.3 gin into a highball glass over ice cubes. Add a slice of lemon and stir. Top up with tonic water to taste.,
3 & Tree ,,,,"1.5 oz No.3 London Dry Gin,  top Fever-Tree Tonic Water, .25 oz Maurin Quina",Pomegranate Seeds,Collins,Pour No.3 into ice-filled collins glass. Top off with Fever-Tree Tonic Water to just below rim of the glass. Float .25 oz. of Maurin Quina on top of cocktail. Garnish with small spoonful of fresh pomegranate seeds.,
Crooked Kilt,,,,"1.5 oz Glenrothes Vintage Reserve, .75 oz Lime Juice , .5 oz Green Chartreuse, .5 oz Velvet Falernum, .5 oz Pineapple Juice",Mint,N/A,Pour over crushed ice with a mint garnish.,
Orange Crush,,,,2.5 oz Glenrothes Vintage Reserve,Orange Peel,Rocks Glass,Pour over crushed ice with zest. Garnish with an orange peel.,
San Fran Soda,Devin Hardy,House of Blues Anaheim,Anaheim,"1.25 oz Hophead Vodka, .5 oz Fresh Lime Juice,  splash Soda Water,  top Steam Beer",Lemon Wedge,Pint Glass,"Pour over ice in a pint glass, then fill with steam beer. Garnish with a lemon wedge and a straw.",
Simply Perfecto,,,San Francisco,2 oz BarSol Perfecto Amor (Aperitif Wine),Orange wheel,Rocks Glass,Pour Perfecto Amor over ice and garnish with an orange wheel.,
Château Montifaud Creation,Sophie,,,"1.5 oz Chateau de Montifaud Cognac VS, 1 oz Lemon Juice, .25 oz Orgeat (Almond) Syrup, .25 oz Triple Sec,  top Lemonade",Lemon Peel,N/A,"Pour the Cognac and lemon juice into the glass and then add orgeat syrup; fill with ices cubes and mix with a spoon. At the end, add lemonade and lemon peel.",
Château Montifaud on the Rocks,Michel,,,"1.5 oz Chateau de Montifaud Cognac XO, 3  Ice Cubes",,N/A,Pour the Cognac into the glass and add ice cubes. Perceive the aromas that are released as a summer rain that reveals the secrets of the nature...,
Château Montifaud Pink Love,Elodie,,,".75 oz Chateau de Montifaud XO Silver, .75 oz Sugar Syrup, .75 oz Lemon Juice, 3  Raspberries,  fill Champagne",3 Raspberries,N/A,"Pour the Cognac, sugar syrup, lemon juice and 3 pressed raspberries into the shaker, then shake. Strain into the glass (using a cocktail strainer) and fill with chilled Champagne. Garnish with 3 raspberries.",
Duke's Classic Dry Martini,,,London,"3 oz No.3 London Dry Gin, 1 tsp Extra Dry Vermouth, 1  Amalfi Lemon",Lemon Twist,Martini,"Pour the Extra Dry Vermouth into a frozen martini glass (either 7 oz. or 5.5 oz. glass) and coat in a circular motion. Top up the glass with ice cold No.3 gin. Pare the rind of an Amalfi lemon, and give it a twist to extract the oils into the glass.",
Glimpse of Seduction,Francesco Lafranconi,,,".75 oz Luxardo Maraschino Liqueur, .75 oz Grapefruit flavored Vodka, .5 oz Fresh lemon juice, 1 float Pomegranate liqueur, 2 scoop Lemon sorbet",Fresh lychee,N/A,Pour the first four ingredients in a blender and blend until smooth. Serve into a champagne saucer. Top with Pomegranate Liqueur float.,
Bloody Fernet,Francesco Lafranconi,,,"1 oz Luxardo Fernet, .75 oz Luxardo Maraschino Liqueur, 2 scoop Blood orange sorbet",Blood orange wheel,N/A,Pour the ingredients in a blender and blend until smooth. Serve in a cocktail glass or coupe.,
Kentucky Likker,Francesco Lafranconi,,,"1.5 oz Hirsch Small Batch Reserve Bourbon, 1 oz Luxardo Amaro Abano, 2 dash Orange Bitters, 1 splash Club Soda","Lemon Peel, Luxardo Cherry",Old Fashioned Glass,"Pour the ingredients in an old fashioned glass, then fill up with ice and stir well before serving.",
Château Montifaud Lady Touch Triple Sec,Catherine,,,"1.5 oz Chateau de Montifaud Reserve Speciale Michel Vallet, .75 oz Triple Sec, 1 oz Lemon Juice, 1 oz Sugar Syrup, 8  Fresh Mint,   Ice Cubes",,N/A,Pour the ingredients in the shaker. Close and shake well until frosted. Strain into the glass. Garnish with fresh mint.,
Pink Colada,,,,"2 oz Pink Pigeon Rum, 2 oz Pineapple Juice, 1.5 oz Cream of Coconut",,Collins,Pour the ingredients into a cocktail shaker filled with ice. Shake well. Strain into a chilled cocktail or Collins glass.,
Profundo,,,,"1.25 oz Hirsch Small Batch Reserve Bourbon, 1.25 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Chocolate Liqueur, 1 oz Heavy cream flavored with Hum Liqueur",Fresh cherry,N/A,Pour the liquor ingredients over ice and top with half inch (about one centimeter) layer of lightly whipped cream shaken with Hum Liqueur.,
Château Montifaud on Mint,Laurent,,,"1 coffee spoon Sugar Syrup, 10  Fresh Mint, .25  Sliced Green Lemon, 1 oz Chateau de Montifaud Cognac VSOP, .75 oz Lemon Juice, .75 oz Sparkling Water",,N/A,"Pour the sugar syrup into the glass and add fresh mint and green lemon. Lightly crush and add ice cubes, Cognac, lemon juice and sparkling water. Mix with a spoon and serve with a straw.",
Tequila Sunflare,Tyler Chauvin,Treo,New Orleans,"1.5 oz Chinaco Blanco Tequila, .75 oz Sage-Cilantro-Lime Syrup,  rinse Montanaro Vermouth , 1  Pomegranate Ice Cube",,Rocks Glass,Pre-freeze pomegranate juice into one large cube. Rinse a glass with Montanaro vermouth. Dump any excess out. Build the remainder of spirits and bitters into a shaker tin. Shake vigorously. Strain over the pomegranate ice cube into a rocks glass.,
Kiss Of Persuasion,Francesco Lafranconi,,,"1 oz Luxardo Maraschino Liqueur, 1 oz Honey-Pear Liqueur, .5 oz Heavy Cream,  oz Pinch of Cardamom,  oz Dehydrated pear slice",Cardamom,Coupe,Pre-mix the liquors together and keep refrigerated. Serve 2 oz. neat into a small coupe glass. Float the fresh cream on top.,*After-dinner cocktail
Marchesa,Loris Melis,,,"30 ml Luxardo Maraschino Liqueur, 20 ml Bitter, 20 ml Luxardo Sangue Morlacco Cherry Liqueur, 20 ml Bourbon, 2 dash Chocolate Bitters","Luxardo Cherry, Dehydrated Orange Wheel",Old Fashioned Glass,Prepare directly in an old fashioned glass.,Photo credit: bargiornale.it
Brazilian Mule Punch,Lauren Sanchez,,Miami,"2 part Ypioca Brasilizar Cachaca Prata Reserva Especial, 1 part Fresh Lime Juice, 1 part Ancho Chile-Infused Simple Syrup, 1 float Ginger Beer, 2 dash Angostura Bitters","Dried Ancho Chiles, Lime Wheel",N/A,"Punch Preparation Instructions:
Combine Ypioca, lime and syrup in bowl. Top with ginger beer and Angostura bitters* (amounts will depend on size of punch and number of anticipated servings). Garnish with thin-sliced dried ancho chiles and lime wheels to float. 

*You can optionally skip adding Angostura in punch and instead add a dash or 2 to each individual cocktail as served.


Individual Cocktail Preparation Instructions:
Combine ingredients exactly the same way as a traditional Moscow Mule over crushed ice. Garnish with dash or 2 bitters and ancho chile slices. Mint is an optional garnish.","""Fun little twist on a Moscow Mule."" - Lauren Sanchez"
Coco Batida,,,,"1 1/2 oz Coconut milk, 1 1/2 oz Condensed milk, 3 oz Ypiòca, 1 Tbsp Sugar",,N/A,"Put 1 1/2 ounces of coconut milk, 1 1/2 ounces of condensed milk, 3 ounces of Ypiòca and tablespoon of sugar in a blender. Mix for a few seconds. Add ice cubes and serve.",
Orange Batida,,,,"2 1/2 oz Orange Juice, 1 1/2 oz Ypiòca, 1-2 Tbsp Sugar",,N/A,"Put 1 1/2 ounces, 2 1/2 ounces orange juice, and 1-2 tablespoons of sugar in a shaker. Add ice cubes and shake for a few seconds. Put in glass and serve.",
Passion Fruit Batida,,,,"1-2 Tbsp Sugar, 1 1/2 oz Ypiòca,   Passion fruit",,N/A,"Put 1/2 passion fruit inner part in a blender, 1-2 tablespoons of sugar and 50ml ( 1 1/2 ounces) of Ypiòca. Mix for a few seconds. Filter in a glass and serve with ice.",
Peach Batida,,,,"3 oz Peach Juice, 1 1/2 oz Condensed milk, 1 1/2 oz Ypiòca , 1 Tbsp Sugar ",,N/A,"Put 3 ounces of peach juice, 1 1/2 ounces of Ypiòca, 1 1/2 ounces of condensed milk and 1 tablespoon of sugar in a shaker. Add ice cubes, shake well and serve.",
Karlsson's Old Fashioned,,,,"2 oz Karlsson's Gold Vodka, 1 cube Brown sugar, 1 splash Bitter",Lemon peel,N/A,"Put a brown sugar cube at the bottom of a frosted glass.
Add a splash of bitter and muddle the sugar.
Add Karlsson's Gold Vodka and stir with ice.
Add lemon and orange peels (which you can burn for added flavor).",
Gold Rush,Leilani Brennan,Southside Spirit House,San Francisco,"3  Basil Leaves, 1.5 oz Karlsson's Gold Vodka, .75 oz Pineapple Juice, .5 oz Simple Syrup, .5 oz Sweet Vermouth, .5 oz Lime Juice , .5 oz Egg White, 1 dash Angostura Bitters",Basil Leaf,Coupe,"Put basil leaves in mixing glass. Gently muddle the leaves. Add all ingredients except the bitters or ice. Dry shake the cocktail vigorously. Add the ice and shake again vigorously. Double strain into a coupe. Add a few drops of angostura on top, add cracked pepper, slap one single basil leaf on top for garnish.",
The Improved Sazerac,,,,"1.5 oz H by HINE, .25 oz Luxardo Maraschino Liqueur, .5 tsp Simple Syrup (1:1), 3 dash Peychaud's Bitters, 1 dash Angostura Bitters,  rinse Vieux Pontarlier Absinthe Francaise Superieure",Lemon Twist,N/A,Put ingredients in mixing glass. Stir. Strain into glass that has absinthe rinse. Add lemon zest.,
Luxardo Fresco,,,,"1.5 oz Luxardo Maraschino Liqueur, 1 strip Cucumber, 1 dash Lemon Juice,  top Tonic",Rosemary,Wine Glass,Quick stir and garnish with rosemary.,
Stranger in the Alps,Matt Tocco,,," rinse Eau de Vie, 1.5 oz Junipero Gin, 1 oz Carpano Antica, .75 oz Campari, .25 oz Braulio Amaro, 1 pinch Salt",Lemon Pigtail,Rocks Glass,"Rinse a rocks glass with eau de vie. Combine remaining ingredients in a shaker with ice. Shake, and strain over fresh ice into a rocks glass. Garnish with a lemon pigtail.",Photo credit: Liquor.com
Corpse Reviver No.2,,,,".75 oz No.3 London Dry Gin, .75 oz Tempus Fugit Kina L'Aero d'Or, .75 oz The Genuine Curacao Liqueur Clear, .75 oz Lemon Juice,  rinse Vieux Pontarlier Absinthe Francaise Superieure",,N/A,Rinse cocktail glass with Vieux Pontarlier Absinthe. Shake rest with ice and strain.,
Sazerac,,,,"0.5 oz Vieux Pontarlier Absinthe Francaise Superieure, 2 oz H by HINE, 3 dash Tempus Fugit Abbott's Bitters, 0.5 tsp Sugar",Lemon peel,Old Fashioned Glass,"Rinse entire glass with absinthe, discard, if you must.
Stir with ice and strain into an old-fashion glass, garnish with lemon peel.",
The Last Marasca,Luke Ridge,,,"50 ml Gin, 20 ml Luxardo Maraschino Liqueur, 5 ml Luxardo Orgeat Syrup, 5 ml Lemon Juice, 1 dash Absinthe",Luxardo Cherry,N/A,"Rinse glass with absinthe. Add a Luxardo Cherry (covered in its juice) to a mixing glass with remaining ingredients. Stir until cold and slightly rose colored. Single strain, serve with cherry from mixing glass.",
Seersucker Sunshine,Josh Ruiz,,Houston,".75 oz Luxardo Bitter Bianco, 1.5 oz Seersucker Gin, .5 oz Lillet Blanc, 1.5 oz Sauternes, 2 dash Orange Blossom Water",Lemon Wheel,Nick & Nora,"Rinse the glass with Orange Blossom Water and pour cocktail. Shake Egg White, Sauternes and Lemon Juice vigorously dry for 25 seconds, then add ice, gin, Luxardo Bitter Bianco and Lillet Blanc, shake again for 10 seconds. Strain into Nick & Nora, garnish with a lemon wheel.",
Bubbleliciously Delicious,Jason Lee,,New Orleans,".5 oz Luxardo Fernet, 1.5 oz Luxardo Triplum (Triple Sec), 1 dash Angostura bitters, 2 slices Satsuma slices, 2 oz Sioux City Sarsparilla Soda",,N/A,Serve cold and garnish with a scoop of vanilla bean ice cream swirled with Luxardo Maraschino Cherry Juice.,
Wooster 53,Diego Sanchez,Cocteleria,New York,"1.5 oz No.3 London Dry Gin, .75 oz Grapefruit Juice, .75 oz Ginger/Cardamom/Honey Syrup*, .25 oz Lime Juice,  float Tonic Water",Grapefruit Twist,Champagne Flute,"Serve in a champagne flute up to 60% full and top with tonic water up to 80% full, garnish with a grapefruit twist.

*Ginger/Cardamom/Honey Syrup:
Bring about 8 cups of water to a boil, once boiling turn off heat and add 2 cups of cardamom pods. Let sit for about 6 hours. Strain the pods out, add 1 qt (32 oz) of honey and stir until dissolved. For an added cardamom boost: place the cardamom pods with the cardamom/honey ""tea"" in a blender. Blend and press through a fine strainer so as to discard the solids but keep the flavor.",
