Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients
John Collins;Ordinary Drink;Alcoholic;Collins glass;Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.;Alle Zutaten direkt in ein mit Eis gefülltes Highball-Glas gießen. Vorsichtig umrühren. Garnieren. Füge einen Schuss Angostura-Bitter hinzu.;Versare tutti gli ingredienti direttamente nel bicchiere highball pieno di ghiaccio.Aggiungi un pizzico di Angostura bitter.Mescola delicatamente.;https://www.thecocktaildb.com/images/media/drink/0t4bv71606854479.jpg;1 Orange, 1 Maraschino cherry, 3 oz Club soda, 1 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Bourbon
Jamaica Kiss;Milk / Float / Shake;Alcoholic;Hurricane glass;Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.;Füllen Sie einen Becher mit Eiswürfeln. Füge einen Schuss Tia Maria und einen Schuss jamaikanischen leichten Rum hinzu. Füllen Sie den Becher mit Milch. Mischen, bis sie glatt sind und sofort servieren.;Riempi un bicchiere con cubetti di ghiaccio.  Aggiungi un bicchierino di Tia Maria e un bicchierino di rum chiaro giamaicano.  Riempi il bicchiere di latte.  Frulla fino a ottenere un composto omogeneo e servi immediatamente.;https://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg;Milk, cubes Ice, 1 shot Jamaican Light rum, 1 shot Coffee liqueur
Japanese Fizz;Ordinary Drink;Alcoholic;Highball glass;Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.;Alle Zutaten (außer kohlensäurehaltigem Wasser) mit Eis schütteln und über zwei Eiswürfel in ein Highball-Glas abseihen. Mit kohlensäurehaltigem Wasser auffüllen, umrühren und servieren.;Shakerare tutti gli ingredienti (eccetto l'acqua gassata) con ghiaccio e filtrare in un bicchiere highball su due cubetti di ghiaccio. Riempi con acqua gassata, mescola e servi.;https://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg;Carbonated water, 1 Egg white, 1 tblsp Port, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 1/2 oz Blended whiskey
Just a Moonmint;Milk / Float / Shake;Non alcoholic;Highball Glass;Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.;Alle Zutaten in den Mixer geben - abdecken und bei mittlerer Geschwindigkeit schaumig schlagen, bis sie gut vermischt sind. In ein großes, 2 mittlere oder 3 kleine Gläser füllen und geniessen.;Mettere tutti gli ingredienti nella caraffa del frullatore - coprire e montare a velocità media fino a quando non sono ben amalgamati.Versare in un bicchiere alto, 2 medi o 3 piccoli e bere.;https://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg;Mint syrup, Chocolate syrup, 2 cups Milk
Jamaican Coffee;Coffee / Tea;Alcoholic;Champagne flute;Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.;Rum, Kaffee und Wasser miteinander verrühren. Mit der geschlagenen Sahne bedecken. Mit einer Prise gut gemahlenem Kaffee bestreuen und mit einem Strohhalm trinken.;Mescola rum, caffè e acqua insieme.  Completare con la panna montata.  Cospargere con un pizzico di caffè ben macinato e bere con una cannuccia.;https://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg;Whipped cream, 1/2 glass cold Water, 1/6 glass strong black Coffee, 1/6 glass Rum
Jewel Of The Nile;Ordinary Drink;Alcoholic;Cocktail glass;In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.;In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.;In un mixing glass riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti. Filtrare in un bicchiere da cocktail. Mescolare bene.;https://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg;1/2 oz Yellow Chartreuse, 1/2 oz Green Chartreuse, 1 1/2 oz Gin
Jack Rose Cocktail;Ordinary Drink;Alcoholic;Cocktail glass;Shake all ingredients with ice, strain into a cocktail glass, and serve.;Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.;Shakerare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg;Juice of 1/2 Lime, 1 tsp Grenadine, 1 1/2 oz Apple brandy
Jack's Vanilla Coke;Other/Unknown;Alcoholic;Old-fashioned glass;After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.;Nach dem Einfüllen der Zutaten und dem Hinzufügen von 3-5 Eiswürfeln je nach Geschmack, rühren Sie das Getränk mit einem Rührer um, um die Vanille vom Boden zu lösen.;Dopo aver versato gli ingredienti e aver aggiunto 3-5 cubetti di ghiaccio, a piacere.  Mescola la bevanda con un agitatore per eliminare la vaniglia dal fondo.;https://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg;10-12 oz Coca-Cola, 1 tsp Vanilla extract, 2 oz Tennessee whiskey, 4-5 Ice
Kir;Ordinary Drink;Alcoholic;Wine Glass;Add the crème de cassis to the bottom of the glass, then top up with wine.;Gib die Creme de Cassis auf den Boden des Glases und füge dann Wein hinzu.;Aggiungere la crème de cassis sul fondo del bicchiere, quindi rabboccare con il vino.;https://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg;5 parts Champagne, 1 part Creme de Cassis
Karsk;Ordinary Drink;Alcoholic;Highball glass;Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.;Legen Sie eine Kupfermünze in eine Kaffeetasse und füllen Sie sie mit Kaffee, bis Sie die Münze nicht mehr sehen, dann fügen Sie Alkohol hinzu, bis Sie die Münze wieder sehen. Norwegische Spezialität.;Metti una moneta di rame in una tazza da caffè e riempila di caffè finché non vedi più la moneta, quindi aggiungi l'alcol finché non vedi la moneta. Specialità norvegese.;https://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg;2 parts Grain alcohol, 1 part Coffee
Kamikaze;Ordinary Drink;Alcoholic;Cocktail glass;Shake all ingredients together with ice. Strain into glass, garnish and serve.;Alle Zutaten zusammen mit Eis schütteln. In ein Glas abseihen, garnieren und servieren.;Shakerare tutti gli ingredienti insieme al ghiaccio.Filtrare nel bicchiere, guarnire e servire.;https://www.thecocktaildb.com/images/media/drink/d7ff7u1606855412.jpg;1 oz Lime juice, 1 oz Triple sec, 1 oz Vodka
Kir Royale;Ordinary Drink;Alcoholic;Champagne Flute;Pour Creme de cassis in glass, gently pour champagne on top;Creme de Cassis in ein Glas geben, vorsichtig Champagner darüber gießen.;Versare la Creme de cassis nel bicchiere, versai sopra delicatamente lo champagne;https://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg;5 parts Champagne, 1 part Creme de Cassis
Kurant Tea;Coffee / Tea;Alcoholic;Champagne flute;Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!;Geben Sie Absolut Kurant in eine bequeme, große Teetasse. Füge den nicht zu heißen(!) Apfeltee und, wenn du willst, etwas Zucker hinzu. Viel Spaß!;Versare Absolut Kurant in una tazza da tè comodamente grande.  Aggiungete il tè alla mela non troppo caldo (!) E, se vi piace, dello zucchero.  Godere!;https://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg;(if needed) Sugar, Turkish apple Tea, 4 cl Absolut Kurant
Kiwi Lemon;Ordinary Drink;Alcoholic;Highball glass;Mix in highball glass. Stirr. Garnish with slice of kiwi.;Im Highball-Glas untermischen. Rühren. Mit einer Scheibe Kiwi garnieren.;Mescolare in un bicchiere highball.  Agitare.  Guarnire con una fetta di kiwi.;https://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg;cubes Ice, 2 parts Bitter lemon, 1 part Kiwi liqueur
Kioki Coffee;Coffee / Tea;Alcoholic;Coffee mug;Stir. Add whipped cream to the top.;Rühren. Die geschlagene Sahne dazugeben.;Versare tutti gli ingredienti nel bicchiere. Aggiungere la panna montata in cima. Agitare.;https://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg;Coffee, 1/2 oz Brandy, 1 oz Kahlua
Kool-Aid Shot;Shot;Alcoholic;Old-fashioned glass;Pour into a large glass with ice and stir. Add a little cranberry juice to taste.;In ein großes Glas mit Eis gießen und umrühren. Nach Belieben etwas Preiselbeersaft hinzufügen.;Versare in un bicchiere grande con ghiaccio e mescolare.  Aggiungere un po 'di succo di mirtillo rosso a piacere.;https://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg;Cranberry juice, 1 shot Triple sec, 1 shot Sloe gin, 1 shot Amaretto, 1 shot Vodka
Kiss me Quick;Ordinary Drink;Alcoholic;Highball glass;mix in the glass;Im Glas mischen.;Versare tutti gli ingredienti in un bicchiere, mescola bene.;https://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg;cubes Ice, 8 cl Apple juice, 7 cl Schweppes Russchian, 2 cl Apfelkorn, 4 cl Cranberry vodka
Kool First Aid;Shot;Alcoholic;Shot glass;Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.;Geben Sie Kool Aid in ein Doppelschnapsglas und füllen Sie es mit Rum. Knall und Schuss.;Aggiungi Kool-Aid, successivamente aggiungi il rum.;https://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg;1/2 tsp Tropical Kool-Aid, 2 oz light 151 proof rum
Kentucky B And B;Ordinary Drink;Alcoholic;Brandy snifter;Pour the bourbon and Benedictine into a brandy snifter.;Den Bourbon und den Benediktiner in ein Brandyglas geben.;Versare il bourbon e il benedettino in un bicchierino di brandy.;https://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg;1/2 oz Benedictine, 2 oz Bourbon
Kentucky Colonel;Ordinary Drink;Alcoholic;Cocktail glass;In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.;In einem Shaker, der halb mit Eiswürfeln gefüllt ist, den Bourbon und den Benediktiner vermengen. Schütteln und in ein Cocktailglas abseihen. Mit der Zitronenscheibe garnieren.;In uno shaker riempito a metà con cubetti di ghiaccio unire il courbon e il benedettino.Shakerare e filtrare in una coppetta da cocktail. Guarnire con la scorza di limone.;https://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg;1 twist of Lemon peel, 1/2 oz Benedictine, 3 oz Bourbon
Kool-Aid Slammer;Shot;Alcoholic;Shot glass;Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.;Füllen Sie zuerst die Hälfte des Schnapsglases mit dem Kool-Aid. Dann legen Sie ein Papiertuch über das Glas und gießen Sie den Wodka langsam ein. Wenn du es richtig machst, solltest du sehen können, dass die beiden Flüssigkeiten getrennt sind, mit dem Wodka oben drauf. Jetzt knall es rein! Das Letzte, was du schmecken wirst, ist das Kool-Aid.;Riempi prima metà del bicchierino con il kool-aid.  Quindi mettere un tovagliolo di carta sulla parte superiore del bicchiere e versare lentamente la vodka.  Se lo fai bene, dovresti essere in grado di vedere che i due liquidi sono separati, con la vodka sopra.  Ora sbattilo! L'ultima cosa che assaggerai è il kool-aid.;https://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg;1/2 oz Vodka, 1/2 oz Grape Kool-Aid
Kiwi Papaya Smoothie;Other/Unknown;Non alcoholic;Highball Glass;Throw everything into a blender and liquify.;Alles in einen Mixer geben und aufschlagen.;Getta tutto in un frullatore e liquida.;https://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg;1/2 Papaya, 3 Kiwi
Kill the cold Smoothie;Other/Unknown;Non alcoholic;Highball glass;Juice ginger and lemon and add it to hot water. You may add cardomom.;Ingwer und Zitrone entsaften und in heißes Wasser geben. Du kannst Cardomom hinzufügen.;Spremere lo zenzero e il limone e aggiungerlo all'acqua calda.Puoi aggiungere il cardamomo.;https://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg;1 cup hot Water, 1/4 Lemon, 1 inch Ginger
Limeade;Other/Unknown;Non alcoholic;Highball glass;In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out.;In einem großen Glas Limettensaft und Zucker anrühren. Füge kaltes Selterswasser zum Befüllen hinzu. Die Limettenschalen in das Glas geben. Trink. Wiederholen Sie dies, bis Limetten oder Soda aufgebraucht sind.;In un bicchiere grande mettere il succo di lime e lo zucchero e mescolare bene. Aggiungere acqua fredda di seltz per riempire. Ripeti finché i lime o la soda non si esauriscono. Mettere le bucce di lime nel bicchiere.;https://www.thecocktaildb.com/images/media/drink/5jdp5r1487603680.jpg;Lime peel, (seltzer water) Soda water, 1 tblsp Sugar, Juice of 1 Lime
Lunch Box;Beer;Alcoholic;Pint glass;Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.;Füllen Sie ein Pintglas fast voll mit Bier. Dann den Rest mit Orangensaft füllen (darauf achten, ihn nicht nach oben zu füllen). Dann nimm den Schuss Amaretto und lass ihn rein.;Riempi un bicchiere da mezzo litro quasi pieno di birra.  Quindi riempire il resto con succo d'arancia (attenzione a non riempirlo fino in cima).  In un bicchiere da shot versaci l'Amaretto, infine versare lo shot sul mix fatto in precedenza.;https://www.thecocktaildb.com/images/media/drink/qywpvt1454512546.jpg;1 oz Orange juice, 1 shot Amaretto, 3/4 bottle Beer
Lemon Shot;Shot;Alcoholic;Shot glass;Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.;Galliano und Absolut Citron in einem Schnapsglas mischen, Zitronenkeil mit Zucker bestreut über Glas legen und Rum über Keil und Glas gießen. Light Rum mit einem Feuerzeug für eine Sekunde brennen lassen. Trinken Sie schnell und saugen Sie an der Zitrone. Wenn es richtig gemacht wird, schmeckt es wie ein Schuss süße Limonade.;"Unisci la vodka e il succo di limone in un bicchierino. Cospargere sopra 1/2 cucchiaino di zucchero. Mettere 2 cucchiaini di zucchero in un piattino; immergere gli spicchi di limone nello zucchero. Succhia un limone zuccherato dopo aver bevuto lo shot.";https://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg;151 proof rum, Bacardi Sugar, wedge Lemon, 1/2 oz Absolut Citron, 1/2 oz Galliano
Long vodka;Ordinary Drink;Alcoholic;Highball glass;Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka;Schütteln Sie ein hohes Glas mit Eiswürfeln und Angostura und beschichten Sie so die Innenseite des Glases. Den Wodka darüber gießen, 1 Scheibe Limette hinzufügen und den Saft aus dem Rest herausquetschen, mit Tonic mischen, umrühren und voila, Sie haben einen langen Wodka.;Agitare un bicchiere alto con cubetti di ghiaccio e angostura, ricoprendo l'interno del bicchiere.  Versare la vodka su questo, aggiungere 1 fetta di lime e spremere il succo dal resto, mescolare con il tonico, mescolare e voilà hai una Long Vodka;https://www.thecocktaildb.com/images/media/drink/9179i01503565212.jpg;4 Ice, 1 dl Schweppes Tonic water, 4 dashes Angostura bitters, 1/2 Lime, 5 cl Vodka
Lemon Drop;Cocktail;Alcoholic;Cocktail glass;Shake and strain into a chilled cocktail glass rimmed with sugar.;Schütteln und abseihen in ein gekühltes Cocktailglas mit Zuckerrand.;Shakerare e filtrare in un bicchiere da cocktail ghiacciato bordato di zucchero.;https://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg;Juice of 1 wedge Lemon, 1 1/2 shot Cointreau, 1 1/2 shot Absolut Vodka
Loch Lomond;Ordinary Drink;Alcoholic;Cocktail glass;In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.;In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, Scotch, Drambuie und Wermut kombinieren. Gut umrühren. In ein Cocktailglas abseihen. Mit der Zitronenscheibe garnieren.;In un mixing glass riempito a metà con cubetti di ghiaccio, unire lo scotch, il drambuie e il vermouth. Filtrare in un bicchiere da cocktail. Guarnire con la scorza di limone. Mescolare bene.;https://www.thecocktaildb.com/images/media/drink/rpvtpr1468923881.jpg;1 twist of Lemon peel, 1/2 oz Dry Vermouth, 1/2 oz Drambuie, 2 oz Scotch
London Town;Ordinary Drink;Alcoholic;Cocktail glass;In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.;In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.;In un mixing glass riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti. Filtrare in un bicchiere da cocktail. Mescolare bene.;https://www.thecocktaildb.com/images/media/drink/rpsrqv1468923507.jpg;2 dashes Orange bitters, 1/2 oz Maraschino liqueur, 1 1/2 oz Gin
Lassi Khara;Other/Unknown;Non alcoholic;Highball Glass;Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.;Im Mixer zu einem schaumigen Ganzen verrühren (Frappe). Zerrissene Curryblätter hinzufügen und kalt servieren.;Frullare (frappe) nel frullatore fino a ottenere un composto spumoso.Aggiungere le foglie di curry strappate e servire freddo.;https://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg;1 pinch Asafoetida, 1 tsp Salt, 2 cups cold Water, 1 cup Yoghurt
Lassi Raita;Other/Unknown;Non alcoholic;Highball Glass;Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.;Joghurt und Eiswürfel zusammen mischen, bis der Joghurt flüssiger wird. Nach Belieben Zucker hinzufügen. Die Zitrone / Limette ist optional, verleiht ihr aber einen leicht herberen Geschmack. Eine Prise Salz. Raita ist auch gut für den Sommer. Anstatt einen traditionellen Salat zu essen, können Sie stattdessen Raita machen.;Frullate insieme lo yogurt e i cubetti di ghiaccio, finché lo yogurt non diventa più liquido. Aggiungere lo zucchero a piacere. Il limone / lime è facoltativo ma gli conferisce un sapore leggermente aspro. Pizzico di sale.Invece di avere un'insalata tradizionale puoi invece preparare la raita. Raita va bene anche per l'estate.;https://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg;Salt, Lime, Sugar, 4-6 Ice, 2 cups Yoghurt
Lemouroudji;Other/Unknown;Non alcoholic;Highball Glass;Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.;Die Zitronen entsaften. Den Ingwer schälen und raspeln. Den geriebenen Ingwer und einen kräftigen Spritzer Cayennepfeffer in ein Stück Seihtuch geben und zu einem Knoten binden. Im Wasser einweichen lassen. Nach etwa 15 Minuten den Zucker und den Zitronensaft hinzufügen. Abkühlen lassen und servieren.;Mettere lo zenzero grattugiato spolverato di pepe di Caienna in un pezzo di garza, annodalo e lascia che lo zenzero e il pepe di Caienna infondano l'acqua in modo che l'acqua assuma sapore (circa 15 minuti).  Aggiungere lo zucchero e il succo di limone e mescolare bene.  Raffredda e servi freddo. (Puoi lasciare fuori il pepe di Caienna se lo desideri). Metti in frigo, aggiusta lo zucchero se necessario e servi.;https://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg;ground Cayenne pepper, 1 cup Sugar, 1 lb Lemon, 1 gal Water, 2 pieces Ginger
Lord And Lady;Ordinary Drink;Alcoholic;Old-fashioned glass;Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.;Den Rum und Tia Maria in ein old-fashioned Glas gießen, das fast mit Eiswürfeln gefüllt ist. Gut umrühren.;Versare il rum e Tia Maria in un bicchiere vecchio stile quasi pieno di cubetti di ghiaccio. Mescolare bene.;https://www.thecocktaildb.com/images/media/drink/quwrys1468923219.jpg;1/2 oz Tia maria, 1 1/2 oz Dark rum
Lassi - Sweet;Other/Unknown;Non alcoholic;Highball glass;Put all ingredients into a blender and blend until nice and frothy. Serve chilled.;Alle Zutaten in einen Mixer geben und schaumig rühren. Kühl servieren.;Metti tutti gli ingredienti in un frullatore e frulla fino a ottenere un composto omogeneo e spumoso. Servire freddo.;https://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg;2 tblsp Lemon juice, pinch Salt, 4 tblsp Sugar, 2 cups cold Water, 1 cup Yoghurt
Lassi - Mango;Other/Unknown;Non alcoholic;Highball glass;Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.;Alles in einen Mixer geben und über das zerstoßene Eis gießen. Du kannst auch andere Früchte wie Erdbeeren und Bananen verwenden.;Mettete il tutto in un frullatore e versateci sopra del ghiaccio tritato.Puoi anche usare altri frutti come fragole e banane.;https://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg;1 cup iced Water, 1/2 cup Sugar, 2 cups Yoghurt, 2 Mango
Limona Corona;Beer;Alcoholic;Beer Glass;Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink.;Öffne die Corona. Füllen Sie den leeren Platz im Hals in der Flasche mit dem Rum. Die Flasche sollte bis zum Anschlag gefüllt werden. Die Flasche mit dem Daumen oder der Handfläche verschließen. Drehen Sie die Flasche auf den Kopf, damit sich Rum und Bier vermischen. Drehen Sie die Flasche nach oben, ziehen Sie den Daumen heraus und trinken Sie.;Apri la Corona.  Riempi lo spazio vuoto nel collo della bottiglia con il rum.  La bottiglia dovrebbe essere riempita fino in fondo.  Copri la bottiglia con il pollice o il palmo della mano.  Capovolgi la bottiglia in modo che rum e birra si mescolino.  Capovolgi la bottiglia, drink pronto;https://www.thecocktaildb.com/images/media/drink/wwqrsw1441248662.jpg;1 oz Bacardi Limon, 1 bottle Corona
Lady Love Fizz;Ordinary Drink;Alcoholic;Cocktail glass;Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.;N/A;Shakerare tutti gli ingredienti (tranne l'acqua gassata) con ghiaccio e filtrare in un bicchiere da cocktail su due cubetti di ghiaccio. Riempite con acqua gassata, mescolate e servite.;https://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg;Carbonated water, 1 Egg white, Juice of 1/2 Lemon, 1 tsp Powdered sugar, 2 tsp Light cream, 2 oz Gin
Long Island Tea;Ordinary Drink;Alcoholic;Highball glass;Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.;Alle Zutaten (außer Cola) mischen und in einem Highball-Glas über Eis gießen. Füge einen Spritzer Cola hinzu, um Farbe zu erhalten. Mit einer Scheibe Zitrone dekorieren und servieren.;Unisci tutti gli ingredienti (tranne la cola) e versa il ghiaccio in un bicchiere highball. Aggiungi la spruzzata di cola per il colore. Decorare con una fetta di limone e servire.;https://www.thecocktaildb.com/images/media/drink/nkwr4c1606770558.jpg;1 splash Coca-Cola, Juice of 1/2 Lemon, 1/2 oz Tequila, 1/2 oz Gin, 1/2 oz Light rum, 1/2 oz Vodka
Lone Tree Cooler;Ordinary Drink;Alcoholic;Collins glass;Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass.;Puderzucker und 2 oz. kohlensäurehaltiges Wasser in einem Collins-Glas verrühren. Das Glas mit Eis füllen, Gin und Wermut hinzufügen und umrühren. Mit kohlensäurehaltigem Wasser auffüllen und erneut umrühren. Fügen Sie die Zitronen- und die Orangenspirale hinzu, so dass das Ende über den Glasrand baumelt.;Mescolare lo zucchero a velo 56g e mescola con con acqua gassata. Riempi il bicchiere di ghiaccio, aggiungi gin e vermouth e mescola. Riempi con acqua gassata e mescola di nuovo. Aggiungere la scorza di limone e la spirale d'arancia in modo che l'estremità penda sul bordo del vetro.;https://www.thecocktaildb.com/images/media/drink/wsyqry1479298485.jpg;Lemon peel, Orange spiral, Powdered sugar, Dry Vermouth, Gin, Carbonated water
Lone Tree Cocktail;Ordinary Drink;Alcoholic;Cocktail glass;Stir ingredients with ice, strain into a cocktail glass, and serve.;Zutaten mit Eis verrühren, in ein Cocktailglas abseihen und servieren.;Mescolare gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.;https://www.thecocktaildb.com/images/media/drink/tsxpty1468923417.jpg;1 1/2 oz Gin, 3/4 oz Sweet Vermouth
Lazy Coconut Paloma;Cocktail;Alcoholic;Highball glass;Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.;N/A;Mescolare il liquore al cocco (preferibilmente tequila) con il succo di pompelmo e guarnire con acqua di seltz. Versare una grossa fetta di pompelmo dentro il bicchiere.;https://www.thecocktaildb.com/images/media/drink/rytuex1598719770.jpg;Top Soda Water, 75 ml Grapefruit Juice, 30 ml Coconut Liqueur
Long Island Iced Tea;Ordinary Drink;Alcoholic;Highball glass;Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.;Den gesamten Inhalt in einem Highball-Glas mischen und vorsichtig umrühren. Für die Farbgebung einen Schuss Coca-Cola hinzufügen und mit Zitronen- oder Limettenspirale garnieren.;Mescolare tutto il contenuto in un bicchiere highball e mescolare delicatamente.  Aggiungere un pizzico di Coca-Cola per la colorazione e guarnire con una scorza di limone o lime.;https://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg;Twist of Lemon peel, 1 dash Coca-Cola, 1/2 oz Gin, 1/2 oz Light rum, 1/2 oz Tequila, 1/2 oz Vodka
Lassi - A South Indian Drink;Other/Unknown;Non alcoholic;Highball Glass;Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.;In einem Mixer 3 Sekunden lang mischen. Lassi ist eines der am einfachsten herzustellenden Produkte, und es gibt viele Möglichkeiten, es herzustellen. Im Grunde ist es Buttermilch (Joghurt mit Wasser verrührt), und Sie können fast jede beliebige Konsistenz wählen, von der dünnsten bis zur dicksten. Kalt servieren.;Frullare in un frullatore per 3 secondi. Lassi è una delle cose più facili da realizzare e ci sono molti modi per produrlo. Fondamentalmente, è latticello (yogurt sbattuto con acqua) e puoi scegliere quasi qualsiasi consistenza che preferisci, dalla più sottile alla più densa. Servire freddo.;https://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg;1/4 tsp dried Mint, 1/4 tsp Salt, 1/2 tsp ground roasted Cumin seed, 1 1/4 cup cold Water, 1/2 cup plain Yoghurt
