Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients;Bartender;Bar/Company;Location;Garnish;Notes
The King's Mulled Wine;N/A;N/A;N/A;Simmer over low heat for 3 hours, double strain with fine sieve.;N/A;N/A;N/A;1 bottle Red Wine, .3 bottle King's Ginger Liqueur, 3 tbsp Caster Sugar, 2  Lemons, 1 zested Orange, 1 stick Cinnamon, 1 dash Nutmeg, 1  Star Anise;N/A;N/A;N/A;N/A;N/A
Tea & Sympathy;N/A;N/A;Mug;Soak 1 chai tea bag in half mug of hot water for 30 seconds, remove the tea bag, add all the ingredients, add more hot water.   Lemon wheel stuffed with 4-5 cloves for garnish.;N/A;N/A;N/A;1 oz Avua Amburana Cachaça, 1 oz King's Ginger Liqueur, .5 oz Fresh Squeezed Lemon Juice, 1 bag Chai Tea;Andrew Kalini;Highlands;New York;Lemon Wheel;Featured in The King's Ginger Winter Warmer Program OND 2015
Huntsman;N/A;N/A;Rocks Glass;Soak brown sugar cube in Angostura and Orange bitters. Muddle soaked sugar cube into a paste in a rocks glass. Pour 2 oz. Pink Pigeon. Add ice and stir. Garnish with an orange peel and Luxardo Cherry.;N/A;N/A;N/A;2 oz Pink Pigeon Rum, 1 cube Brown Sugar;Kate Grutman;N/A;N/A;Orange Peel, Luxardo Cherry;N/A
The Callas Cocktail;N/A;N/A;Champagne Flute;Soak cube in 8 dashes Abbott's Bitter. Drop sugar cube into bottom of flute glass. Stir, Luxardo, gin, and pomegranate cordial. Strain into flute glass. Top with Brachetto. Garnish with small rose, dipped in rose flower water.  *Pomegranate Cordial: -- 48 oz Pomegranate Juice -- 2.5 lbs White Sugar -- 1 lb Turbinado Sugar -- 8 Course Cracked Black Peppercorns -- 2 Cloves -- 5 Allspice Berries -- 1 Tbsp Pomegranate Molasses -- 1 oz Orange Flower Water  Mix all ingredients together in large saucepan. Stir on medium heat until all sugar is dissolved. Strain of spices. Bottle.;N/A;N/A;N/A;1 oz Luxardo Bitter Bianco, .75 oz No.3 London Dry Gin, 1 bsp Pomegranate Cordial*, 1.25 oz Brachetto, 1  Sugar Cube, 8 dash Tempus Fugit Abbott's Bitters;Josh Bearden;N/A;Houston;Small Rose;N/A
Mauritian Buck;N/A;N/A;Rocks Glass;Spray a rocks glass with absinthe, build all other ingredients over cubed ice, garnish with a lemon wheel.;N/A;N/A;N/A;40 ml Pink Pigeon Rum, 40 ml Pressed apple juice,   Ginger ale,   Absinthe,   Lemon zest;N/A;N/A;N/A;Lemon wheel;N/A
The Cavalier White Lady;N/A;N/A;Martini Glass;Spray of Lemon Verbana oil on the Martini glass. Combine all other ingredients and dry shake for 20 seconds. Add ice to the mixing tin and shake again. Double strain into a Martini glass. Garnish with fresh lemon verbena. Served in a martini.;N/A;N/A;N/A;1 oz Junipero Gin, .75 oz Creole Shrub, .75 oz Lemon juice, .25 oz Lemon bitters, .5 oz Simple syrup, 1  Egg white;N/A;The Cavalier;San Francisco;Lemon verbana;N/A
Winter Season;N/A;N/A;Coupe;Spray the inside of the glass with absinthe, then sugar the external rim of the glass. Pour ingredients into a cocktail shaker. Shake and strain into the glass.;N/A;N/A;N/A;2 oz Barr Hill Honey Gin, 1 oz Lemon Juice, .25 oz Liquid Alchemist Orgeat, .25 oz Luxardo Maraschino Liqueur, 1 bsp Dijon Blue Curaçao;Michael Blum;Bar Stella;Los Angeles;N/A;N/A
Land of Valencia;N/A;N/A;Old Fashioned Glass;Spray vessel with absinthe as a rinse. Build cocktail in a stirring glass. Stir cocktail. Place a large format cube in the vessel. Pour cocktail over large format cube.   To garnish, peel a blood orange skin and express the oils over the cocktail. Grab mint sprigs and slap over the top of hand to express oils, wrap the peel at the base of the mint sprigs, tie off with twine and set on top of large format cube.  *Clarified Coconut Sugar Blood Orange Cordial: -- Blood Oranges -- Agar Agar -- Coconut Sugar  Juice blood oranges. Bring 1/4 of juice to a boil with agar agar. Pour cooked juice into the remaining 3/4 juice. Freeze the juice. Pull the block from the freezer and let drip through cheese cloth and perforated pan creating the clarified juice. Bring the juice together with a rich (2:1) coconut sugar creating a coconut sugar blood orange cordial.;N/A;N/A;N/A;.75 oz Luxardo Bitter Bianco, 1.5 oz Bols Genever, .5 oz Clarified Coconut Sugar Blood Orange Cordial*, 1 dash Copper & Kings Absinthe;Chase Ware;N/A;Houston;Blood Orange Skin, Mint Sprigs;N/A
Smashing Great Pumpkins;N/A;N/A;Demitasse Glass;Steam in steaming tin. Pour in Demitasse glass. Top with heavy whipping cream and nutmeg.;N/A;N/A;N/A;1.5 oz Pumpkin vodka, .75 oz New York Apple Whisky, .75 oz King's Ginger Liqueur, .5 oz Hot water;William Golde;N/A;N/A;N/A;N/A
Green and Gold;N/A;N/A;Martini Glass;Step one: Infuse the vodka - Transfer ingredients including 750 ml of Karlsson's vodka to a canning jar or glass container. Close the container. - Shake and rotate every few hours. Let infuse for 24 hours total. - After 24 hours, strain the vodka through a cheesecloth or nutmilk bag. - Transfer the vodka to a glass bottle. Store in the refrigerator or freezer until use.  Step two: Make the martini - Stir 2-3 oz, depending on preference, of the infused vodka with ice. - Strain into a chilled martini glass. - Add pickled onions and peppers.;N/A;N/A;N/A;750 ml Karlsson's Gold Vodka, 5 sprigs Dill, 2 cloves Crushed Garlic, 1  Lemon Peel, 1 tbsp Whole Peppercorns;N/A;N/A;San Francisco;N/A;N/A
Deviled Negroni;N/A;N/A;Rocks Glass;Stir all 3 ingredients continuously in an ice-filled glass, approximately 20 seconds. Strain into a rocks glass with one large ice cube.;N/A;N/A;N/A;1 oz No.3 London Dry Gin, 1 oz Maurin Quina, 1 oz Luxardo Bitter;N/A;N/A;N/A;Lemon Peel;For a slightly sweeter version, replace Luxardo Bitter with Aperol.
El Mustavo;N/A;N/A;N/A;Stir all ingredients and pour over 2-inch single ice cube. Garnish with birch smoked sea salt rim and bow tie orange peel.;N/A;N/A;N/A;2 oz Mezcal, 1 oz Tempus Fugit Alessio Vermouth Chinato, 1 oz Campari, 2 dash Rhubarb Bitters, 2 dash Orange Bitters;Coly Den;The Must;Los Angeles;Birch Smoked Sea Salt Rim, Bow Tie Orange Peel;N/A
Temple of the Moon;N/A;N/A;Old Fashioned Glass;Stir all ingredients except for Absinthe and Orange Flower. Strain over a chunk/sphere of ice in an old fashioned glass. Garnish with a sprig of mint, with 3 drops of Orange Flower.;N/A;N/A;N/A;1 oz Junipero Gin, 1 oz BarSol Primero Quebranta Pisco, 1 oz Amaro Sibilla, .25 oz Simple syrup, 1 rinse St. George Absinthe, 3 drops Fee Brothers Orange Flower Water;Nandini Khaund;The Violet Hour;Chicago;Mint sprig;N/A
Clear Intentions;N/A;N/A;Collins;Stir all ingredients over cubed ice and then strain over large rock while incorporating the cream soda. Garnish with Italian baking spice infused olive and cherry.;N/A;N/A;N/A;1.5 oz Luxardo Bitter Bianco, .5 oz Krogstad Aquavit, 1 bsp Luxardo Apricot Liqueur, 1 dash Orange Cream Citrate, 1.25 oz Almond Cream Soda;Elaine Collum;N/A;Houston;Infused Olive & Cherry;N/A
The Queen Mother;N/A;N/A;Footed Rocks Glass;Stir all ingredients over ice and strain into a footed rocks glass. Garnish with a lemon peel.  *Equal parts lemon and celery bitters in a dasher bottle.;N/A;N/A;N/A;1.75 oz Bombay Dry Gin, .75 oz Dubonnet Rouge, .5 oz King's Ginger Liqueur, 3 dash Lemon-Celery Bitters*;Alex Smith;N/A;N/A;Lemon Peel;N/A
Espèce de Sazerac;N/A;N/A;Rocks Glass;Stir all ingredients together, strain into a chilled large rocks glass, no ice. Twist a zest of lemon above the drink, dip it once and then discard.;N/A;N/A;N/A;1 oz H by HINE, .5 oz Old Overholt Straight Rye Whiskey, .5 oz Rittenhouse Straight Rye Whisky, 1 bsp Rich Demerara Simple Syrup, 3 dash Peychaud's Bitters;Toby Cecchini;The Long Island Bar;Brooklyn;N/A;N/A
Kanazawa;N/A;N/A;Cocktail Glass;Stir all ingredients until well chilled, and strain into a chilled cocktail glass. Garnish with an orange peel with oils squeeze over cocktail.;N/A;N/A;N/A;2 oz Nikka Coffey Grain Whisky, .75 oz Dry Vermouth, .25 oz Luxardo Amaro Abano, 1 bsp Luxardo Maraschino Liqueur, 1 dash Angostura Bitters;N/A;N/A;N/A;Orange Peel;N/A
Frisco San;N/A;N/A;Martini Glass;Stir all ingredients with ice. Strain into a chilled Martini glass. Garnish with a lemon peel.;N/A;N/A;N/A;1.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .75 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Benedictine, 1 dash Angostura Bitters;N/A;N/A;N/A;Lemon peel;N/A
Sidewinder;N/A;N/A;Coupe;Stir all the ingredients over ice, then strain into a coupe. No garnish.;N/A;N/A;N/A;2 oz H by HINE, .5 oz Apple Brandy, .25 oz Benedictine, .25 oz Yellow Chartreuse, 1 dash Vieux Pontarlier Absinthe Francaise Superieure, 1 dash Peychaud's Bitters;Phil Ward;Death & Co.;New York;N/A;N/A
Sade's Taboo;N/A;N/A;Coupe;Stir all the ingredients over ice, then strain into a coupe. No garnish.;N/A;N/A;N/A;2 oz H by HINE, .75 oz Cocchi Americano, .75 oz Dolin Rouge Vermouth, 1 dash Bittermens Hopped Grapefruit Bitters;Jessica Gonzalez;Death & Co.;New York;N/A;N/A
Conference;N/A;N/A;Double Rocks Glass;Stir all the ingredients over ice, then strain into a double rocks glass over 1 large ice cube. Garnish with a lemon twist and orange twist.;N/A;N/A;N/A;.5 oz H by HINE, .5 oz Rye Whiskey, .5 oz Bourbon, .5 oz Calvados, 1 tsp Demerara Syrup, 2 dash Angostura Bitters, 1 dash Bittermens Xocolatl Mole Bitters;Brian Miller;Death & Co.;New York;Lemon Twist, Orange Twist;N/A
Piedra de sol;N/A;N/A;N/A;Stir and garnish lemon peel.;N/A;N/A;N/A;1.5 oz Mezcal, .75 oz Montenegro Amaro Liquore Italiano, .75 oz Calisaya Liqueur, 2 dash Regans' Orange Bitters No. 6;Graham Hunter Gregg;Expatriate;Portland;Lemon Peel;N/A
Parisian Manhattan;N/A;N/A;Old Fashioned Glass;Stir and pour over ice in an old fashioned glass. Garnish with an orange peel.;N/A;N/A;N/A;2 oz H by HINE, 1 oz Cocchi Americano Rosa, 1 dash Angostura Bitters, 3 drops Bittercube Cherry Bark Vanilla Bitters;Clint Rogers;The Dawson;N/A;Orange Peel;N/A
Improved Whisky Cocktail;N/A;N/A;Coupe;Stir and strain into a chilled coupe.;N/A;N/A;N/A;2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 1 dash Luxardo Maraschino Liqueur, 1 dash Pontarlier Anis;N/A;N/A;N/A;N/A;*Old Fashioned riff
Day For Night;N/A;N/A;Nick & Nora;Stir and strain into a chilled Nick and Nora glass. Garnish with a clove(2) studded orange coin.;N/A;N/A;N/A;1.5 oz C. Drouin Calvados Selection, .5 oz La Quintinye Vermouth Rouge, .25 oz Pedro Ximenez Sherry, .25 oz Cannella Cinnamon Cordial, 1 dash Angostura bitters;Eric Quilty;Bon Marché;San Francisco;Orange coin studded with 2 cloves;N/A
Canary vs. the Coal Mine;N/A;N/A;Old Fashioned Glass;Stir and strain into an old fashioned glass with a large ice cube.;N/A;N/A;N/A;.5 oz Old Forester Bonded Bourbon, .5 oz H by HINE, 1 oz Rock & Rye, 1 oz Cocchi Americano Rosa,   Activated Charcoal;Brian Means;Dirty Habit;San Francisco;Dried Apricot;N/A
In HINEsight;N/A;N/A;Old Fashioned Glass;Stir and strain into an old fashioned glass. Large ice cube.;N/A;N/A;N/A;1.5 oz H by HINE, 1 oz Luxardo Bitter, .5 oz Quady Muscat Wine;Brian Means;Dirty Habit;San Francisco;Orange Peel;Aged for 3 months in a used Rye Barrel that previously held a cocktail with Tequila and All Spice. Can also be made to order without barrel aging it.
Cherry Bark Martinez;N/A;N/A;N/A;Stir and strain into stem. Garnish torched star anise and discarded lemon peel.;N/A;N/A;N/A;2 oz Old Tom Gin, .75 oz Carpano Antica, 1 spoon Luxardo Maraschino Liqueur, 1 dash Angostura bitters, 2 dash Bittercube cherry bark bitters;Josh Trabulsi;Burritt Tavern;San Francisco;Star anise, Lemon peel;N/A
Coos Bay;N/A;N/A;Old Fashioned Glass;Stir and strain over ice.;N/A;N/A;N/A;1.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Etter Zuger Kirsch, .5 oz Doug Fir Riesling Syrup*, 15 dash Kombu tincture**;Morgan Schick;Bon Vivants;N/A;Seaweed;*Steep 3 Doug Fir Tip Tea bags in 750 ml riesling for 2 hours. Add 500 m  **Soak seaweed in vodka to taste
Divine Aspect;N/A;N/A;Coupe;Stir and strain up into cocktail glass.;N/A;N/A;N/A;1 oz No.3 London Dry Gin, 1 oz Apple-infused Wild Turkey Bourbon 101, 1 oz Luxardo Apricot Liqueur;N/A;Land and Water Co.;N/A;Lemon peel;N/A
Above My Pay Grade;N/A;N/A;Coupe;Stir and strain.;N/A;N/A;N/A;1.5 oz Semper Fi White Whiskey, .75 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter, 3 dash House-made Citrus Bitters;Brian Means;Dirty Habit;San Francisco;Orange Twist;Aged in used Salt Washed Bourbon Barrel for 4 months. Can also be made to order without barrel aging it.
Manhattan;Cocktail;Alcoholic;Old Fashioned Glass;Stirred over ice, strained into a chilled glass, garnished, and served up.;Über Eis gerührt, in ein gekühltes Glas geseiht, garniert und serviert.;Mescolate su ghiaccio, filtrate in un bicchiere freddo, guarnite e servite.;https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg;1 twist Orange peel, 1 Maraschino cherry,3 cubes Ice, 1 dash Angostura bitters, 1/2 oz Blended Bourbon, 3/4 oz Sweet Vermouth;N/A;N/A;N/A;Luxardo Cherry;N/A
Polish Penance;N/A;N/A;Etched Rocks Glass;Stir and strain. Hoshizaki ice.;N/A;N/A;N/A;1.5 oz House-made Slivovitz (Plum Brandy), 1 oz Chamomile Tea-Infused Noilly Prat Dry Vermouth, .5 oz King's Ginger Liqueur, 3 dash Peychaud's Bitters;Brian Means;Dirty Habit;San Francisco;Lemon Twist;N/A
Sloe & Steady;N/A;N/A;Nick & Nora;Stir for about 20 seconds with ice and then Strain into a chilled Nick & Nora glass.;N/A;N/A;N/A;1.5 oz C. Drouin Calvados Selection, .75 oz Spirit Works Sloe Gin, .5 oz Bonal, 4 drops Black Salt Tincture;N/A;Dirty Habit;San Francisco;Orange Peel;N/A
50/50 Split;N/A;N/A;Coupe;Stir gently and garnish with a lemon twist.;N/A;N/A;N/A;1.5 oz Junipero Gin, .75 oz Dry Vermouth, .75 oz Tempus Fugit Alessio Vermouth Bianco, 1 dash The Bitter Truth Orange Bitters;N/A;N/A;San Francisco;Lemon Twist;N/A
Mayahuel's Revenge;N/A;N/A;Coupe;Stir in a mixing glass to chill down and serve up in a coupe with a lemon zest garnish.;N/A;N/A;N/A;1.5 oz Chinaco Blanco Tequila, 1 oz Vermut Vermouth, .5 oz Giffard Banane du Brésil, 3 dash Bittercube Jamaican #2 Bitters;Brian Means;Dirty Habit;San Francisco;Lemon Zest;* Mixture is barrel aged for 5 months in a used Bourbon Barrel
The Commissioner's Trophy #3;N/A;N/A;Coupe;"Stir in a mixing glass with ice; strain into a coupe glass; garnish with orange and lemon zest.";N/A;N/A;N/A;1.5 oz No.3 London Dry Gin, 1 oz Amaro, .5 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Strawberry shrub;Saul Ranella;Hog Island Oyster Co.;San Francisco;Orange zest, Lemon zest;N/A
Alaska Cocktail;N/A;N/A;Coupe;Stir in mixing glass and serve in a chilled coupe.;N/A;N/A;N/A;2.25 oz No.3 London Dry Gin, .75 oz Green Chartreuse, 3 dash Orange bitters;N/A;N/A;N/A;N/A;N/A
Bushido Cocktail;N/A;N/A;Cocktail Glass;Stir ingredients and strain into cocktail glass. Garnish with Luxardo Cherry.;N/A;N/A;N/A;2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Pedro Ximenez Sherry, 2 dash Angostura Bitters;N/A;N/A;N/A;Luxardo Cherry;"This cocktail is meant to be spirit forward but clean allowing the Nikka to shine through and the sherry to push the more round flavors of the whisky. Bushido translates to ""the way of the warrior"" according to the Japanese Code of Honor."
Abrazo Latino;N/A;N/A;Coupe;Stir ingredients in a mixing glass filled with ice then strain into a chilled cocktail coupe.;N/A;N/A;N/A;1.5 oz Chinaco Reposado Tequila, .75 oz Luxardo Amaro Abano, .75 oz Luxardo Triplum (Triple Sec);Francesco Lafranconi;N/A;N/A;Torched rosemary sprig;N/A
Peruvian Wish (Adapted);N/A;N/A;N/A;Stir ingredients in a mixing glass over an ice sphere(if available) then strain and serve into a chilled cocktail glass filled with the same ice sphere. Garnish with lemon balm and grapefruit peel.;N/A;N/A;N/A;1.5 oz BarSol Pisco, .75 oz Luxardo Amaro Abano, .75 oz Luxardo Maraschino Liqueur;Francesco Lafranconi;N/A;N/A;Grapefruit peel;N/A
The Awen;N/A;N/A;Rocks Glass;Stir ingredients in glass over an ice sphere.;N/A;N/A;N/A;1.5 oz Pot still-style Irish Whiskey, .5 oz Luxardo Maraschino Liqueur, 1 oz Cocchi Americano, 1 dash Orange Bitters;Francesco Lafranconi;N/A;N/A;Star Anise, Sliced Fig;N/A
Nikka's Golden Cherry;N/A;N/A;Cocktail Glass;Stir ingredients over cracked ice. With a julep strainer, pour into a chilled cocktail glass. Once poured, top with lemon foam.  *Dry Vermouth Infusion: -- 1.5 oz Togarashi Spice -- 3 Vanilla Beans -- 2 bags of Green Tea Place ingredients in cheesecloth to steep in a bell jar with 1 bottle of Dolin Dry vermouth for 2 days.  Remove the infusion elements and refrigerate the infusion.  **Lemon Foam: -- 1 bsp Lemon Juice -- 1 bsp Simple Syrup -- 1 Egg White  Place ingredients into a shaker tin and whip with a bar whisk into a foam.;N/A;N/A;N/A;2 oz Nikka Coffey Grain Whisky, .5 oz Luxardo Maraschino Liqueur, .75 oz Dry Vermouth Infusion*, 2 dash Bittermens Burlesque Bitters, 1 top Lemon Foam;Torrence Swain;N/A;Washington DC;N/A;N/A
Bird on a Wire;N/A;N/A;N/A;Stir ingredients together and strain into an absinthe-rinsed coupe. Garnish with a lemon twist/peel.;N/A;N/A;N/A;1.5 oz Pink Pigeon Rum, .5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Peychaud's Bitters, .5 oz Luxardo Maraschino Liqueur;Kate Grutman;N/A;N/A;Lemon peel;N/A
Kind of Fancy;N/A;N/A;Canadian Glencairn Glass;Stir ingredients with ice and strain into Canadian Glencairn glass.;N/A;N/A;N/A;1.5 oz H by HINE, .75 oz Wild Turkey 101 Rye, .5 oz Bin 27 Port, .25 oz Yellow Chartreuse, 2 dash Mole Bitters;Jacques;Wildhawk;San Francisco;Dukes Orange Twist;N/A
Cherry Shandy;N/A;N/A;N/A;Stir IPA and Luxardo in a tumbler. Garnish with Luxardo Cherry.;N/A;N/A;N/A;1.5 oz Luxardo Sangue Morlacco Cherry Liqueur, 6 oz IPA;Emily Arden Wells;Gastronomista.com;N/A;Luxardo Cherry;"<a href=""http://www.saveur.com/cherry-shandy-cocktail-recipe"" target=""_blank"">http://www.saveur.com/cherry-shandy-cocktail-recipe</a>"
Playa Matalan (Mezcal Negroni);N/A;N/A;N/A;Stir over 1 large rock. Garnish with zest of an orange peel.;N/A;N/A;N/A;2 oz Mezcal, .75 oz Tempus Fugit Alessio Vermouth Chinato, .75 oz Tempus Fugit Gran Classico Bitter, 2 dash Tempus Fugit Abbott's Bitters;Dave Guest;N/A;San Francisco;Orange Peel Zest;N/A
Party in the Agave Fields;N/A;N/A;N/A;Stir over 1 large rock. Garnish with zest of an orange peel.;N/A;N/A;N/A;2 oz Mezcal, .75 oz Luxardo Triplum (Triple Sec), .75 oz Luxardo Amaro Abano, 3 dash Tempus Fugit Abbott's Bitters;Dave Guest;N/A;San Francisco;Orange Peel Zest;N/A
The Pink Aperitivo;N/A;N/A;Martini Glass;Stir over cubed/vintage ice, double strain into a small chilled martini glass. Garnish with a black olive on a pick.;N/A;N/A;N/A;30 ml Pink Pigeon Rum, 15 ml Luxardo Aperitivo, 15 ml Red Vermouth, 2 dash Peychaud's Bitters;Ryan Chetiyawardana;N/A;United Kingdom;Black olive;N/A
Nikka Earl Grey;N/A;N/A;Rocks Glass;Stir over ice and serve in a rocks glass.;N/A;N/A;N/A;2.5 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz Honey, .5 oz Earl Grey Syrup,   Smoked Malt;N/A;N/A;Washington DC;N/A;N/A
Mean Martinez;N/A;N/A;Nick & Nora;Stir over ice and strain into a Nick and Nora glass.;N/A;N/A;N/A;1.5 oz Old Tom Gin, 1 oz Lustau East India Solera, .5 oz Grand Poppy Liqueur;Brian Means;Dirty Habit;N/A;N/A;N/A
Astoria;N/A;N/A;Cocktail Glass;Stir over ice for at least 30 seconds, strain into cocktail glass. Garnish with lemon twist.;N/A;N/A;N/A;2 oz Junipero Gin, 1 oz Dry Vermouth, 1-2 dash Orange Bitters;N/A;N/A;N/A;Lemon Twist;N/A
Cherry Champagne Cocktail;N/A;N/A;Coupe;Stir the cherry juice, Maraschino, bitters and Amaro in a mixing glass with ice. Strain into a cocktail coupe and top with Champagne. Garnish with a sprig of thyme.;N/A;N/A;N/A;4 oz Champagne or Prosecco, 1 oz Tart Cherry Juice, .5 oz Luxardo Maraschino Liqueur, 4 dash Mole Bitters, 1 bsp Luxardo Amaro Abano;N/A;Gastronomista.com;N/A;Thyme;N/A
The Chief;N/A;N/A;Coupe;Stir the first three ingredients and the sea salt tincture over ice. Strain into a coupe glass and add licorice-infused Angostura Bitters. Garnish with 3 brandied cherries.;N/A;N/A;N/A;1.5 oz Junipero Gin, .75 oz Cocchi Americano, .5 oz Salers Gentiane Aperitif, 2 drops Black Licorice-Infused Angostura Bitters, 1 drop Sea Salt Tincture;Ian Scalzo;Horsefeather;San Francisco;Brandied Cherries;Junipero Gin 20th Anniversary Signature Cocktail
El Cortez;N/A;N/A;N/A;Stir the first two ingredients with ice, then strain into a chilled wine glass. Top with chilled wine, stir and serve.;N/A;N/A;N/A;1 oz Luxardo Apricot Liqueur, 1.5 oz Chinaco Reposado Tequila, 2 oz Dry Riesling;Francesco Lafranconi;N/A;N/A;Grapfruit peel;N/A
The Lady Whisper;N/A;N/A;N/A;Stir the ingredients in a mixing glass filled with ice, strain and serve over ice into an old fashioned glass.;N/A;N/A;N/A;1 oz Aged Rum, 1 oz Old Potrero Straight Rye Whiskey, .5 oz Luxardo Apricot Liqueur, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 2 dash Bitters;Francesco Lafranconi;N/A;N/A;Lemon peel;N/A
Angel Face (Classic);N/A;N/A;N/A;Stir the ingredients in a mixing glass filled with ice, then strain and serve into a chilled cocktail glass.;N/A;N/A;N/A;1 oz Luxardo Apricot Liqueur, 1 oz C. Drouin Calvados Selection, 1 oz No.3 London Dry Gin;N/A;N/A;N/A;Lemon Peel Oils;N/A
Improved Calvados Cocktail;N/A;N/A;Double Rocks Glass;Stir to 35 °F, strain into a double rocks glass over an angled ice wedge. Garnish with orange peel.;N/A;N/A;N/A;2 oz C. Drouin Calvados Selection, 1 bsp Benedictine, 1 bsp Green Chartreuse, 1 bsp Small Hand Foods Gum Syrup, 2 dash Angostura Bitters;Thad Vogler;Trou Normand;San Francisco;Orange Peel;Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Dirt Nap;N/A;N/A;Nick & Nora;Stir with ice and serve in a Nick and Nora glass (slimmer version of a coupe).;N/A;N/A;N/A;1.5 oz Noilly Prat Dry Vermouth*, .75 oz Oloroso Sherry, .75 oz King's Ginger Liqueur;Brian Means;Dirty Habit;San Francisco;N/A;*Noilly Prat Dry Vermouth- Infused with Porcini Mushroom
Cherry Blossom Martini;N/A;N/A;Coupe;Stir with ice and strain into a chilled coupe. Garnish with a fresh cherry tree blossom.;N/A;N/A;N/A;2 oz Karlsson's Gold Vodka, 1 oz Dolin Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 6 dash Celery Bitters;N/A;Gastronomista.com;N/A;Cherry Tree Blossom;N/A
Pineapple Express;N/A;N/A;Coupe;Stir with ice and strain into a chilled coupe. Garnish with a grapefruit twist.;N/A;N/A;N/A;1 oz Charbay Ruby Red Grapefruit Vodka, 1 oz Vya Dry Vermouth, .75 oz Hophead Vodka, .25 oz Small Hand Foods Pineapple Gum Syrup;Jim Meehan;American Express Centurion Lounge;San Francisco;Grapefruit Twist;N/A
Iron Fist in a Velvet Glove;N/A;N/A;Nick & Nora;Stir with ice and strain into a Nick & Nora glass. Garnish with a grapefruit twist.;N/A;N/A;N/A;1.25 oz Lillet Rose, .75 oz BarSol Primero Quebranta Pisco, .75 oz Prata Cachaca, .25 oz Velvet Falernum;Brian Means;Dirty Habit;San Francisco;Grapefruit Twist;N/A
The Fritz;N/A;N/A;Rocks Glass;Stir with ice and strain into a rocks glass. Garnish with an orange twist.;N/A;N/A;N/A;.75 oz Junipero Gin, .75 oz Luxardo Maraschino Liqueur, .75 oz Peychaud's Bitters, .75 oz Punt e Mes;Ryan Lotz;N/A;N/A;Orange Twist;N/A
Lonesome George;N/A;N/A;Wine Glass;Stir with Ice and strain into a small wine glass.;N/A;N/A;N/A;1.25 oz Apricot-Infused H by HINE, 1 oz Napoleon Amontillado, .25 oz Mandarine Napoléon, .5 oz Lazzaroni Amaro;Jacques;The Forgery;San Francisco;Orange Twist and Discard;N/A
Under the Sun;N/A;N/A;Old Fashioned Glass;Stir with ice and strain into an old fashioned glass over small ice cubes. Garnish with an orange twist.;N/A;N/A;N/A;1.5 oz Plantation Pineapple Rum, 1 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Ancho Reyes, 3 dash House-made Roasted Banana Bitters;Brian Means;Dirty Habit;San Francisco;Orange Twist;N/A
B-String;N/A;N/A;Coupe;Stir with ice for about 20 seconds and then strain into a chilled cocktail coupe.;N/A;N/A;N/A;1.5 oz H by HINE, 1 oz Lustau Amontillado Sherry, .5 oz Giffard Banane du Brésil, 3 dash House-made Roasted Banana Bitters (or Bittermens Tiki Bitters);N/A;Dirty Habit;San Francisco;Banana Chip;Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
The Silver Cocktail;N/A;N/A;Cocktail Glass;"Stir with ice until cold; strain into a chilled cocktail glass. Express and garnish with lemon.";N/A;N/A;N/A;1.5 oz Junipero Gin, 1.5 oz Dry Vermouth, .25 oz Luxardo Maraschino Liqueur, 2 dash Orange Bitters;Douglas Ford;Cold-Glass.com;N/A;Lemon;Photo credit: Douglas M. Ford, cold-glass.com
Obituary Cocktail;N/A;N/A;N/A;Stir with ice. Strain into a cocktail glass.;N/A;N/A;N/A;.25 oz Mansinthe Absinthe, 2 oz Genevieve Gin, .25 oz Tempus Fugit Alessio Extra Dry Vermouth;N/A;N/A;N/A;N/A;N/A
Bourbon Crusta;N/A;N/A;Vintage Glass;Stir with pebble ice, strain into rimmed vintage glass.;N/A;N/A;N/A;2 oz Bourbon, .25 oz Orchard Syrup, .25 oz Lemon Juice, 1 bsp Luxardo Triplum (Triple Sec), 1 bsp Luxardo Maraschino Liqueur, 3 dash Boker’s Bitters;N/A;The Devil's Acre;San Francisco;Lemon Sugar Rim;Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
